,src,tgt,path
10,turn right room right end of hallway toward couches there by couches,Turn right to exit the room. Turn right when you get to the end of the hallway. Walk toward the couches and stop there by the couches. ,"['553465b804fb4fc29bf530f71dfdf1d5', 'df428e69750340cdb9612ca81d9b098b', '4069c437611e44c69edf8175de76b201', '118169c7cc3f488e88a237f10cad437b', '9e6df4301d8e45b28d96c115dea94756', '181111f8575a49039444d6180bf71c10']"
11,stairs right right suite on right once in doorway,"Go up the stairs, and go right. Veer right, and enter the suite on the right. Stop once you are in the doorway. ","['e1166572e82f43d5857232295dcf4879', 'd4b19206bd8b4771b11a4dbda6cb9bff', '28e6276f6b1a44aab5c15e875a4c3a5e', '9e57fd7d4e9949f1a03f765da4a068fe', 'a0aeade23ab74a5f93544047c19718e8', '9e94e381ffbf44eabc4b3fb0f8bff78a']"
12,turn until middle of arches with table by chairs behind through middle arch until long table with chairs on side fireplace further down in next room right door outside on left ninety degrees right walk towards fireplace with long table towards left just before carpet in front of fireplace,"Turn around until you're facing the middle of three arches with a table surrounded by six chairs behind you. Walk through the middle arch until you see a long table with eight chairs on each side and a fireplace further down in the next room to your right. There will be a door leading to the outside on your left. Turn ninety degrees to the right and walk towards the fireplace with the long table towards your left, stopping just before reaching the carpet in front of the fireplace. ","['3611ca6eb11f4a32a7cd3c073862860d', 'b2d31a869b644c738697a237d4e724b5', '3d6c224493aa4b8fa5fd16e7ae8e2d66', '82ee7783a95b4beeb1b8c518107c9ae2', '2d21aec2e48b4797ad0367e96fd316f4', '397cae1de3b74644804196b838fd3c8a', '5b4f88b00af3413eb8a3706a62a761e1']"
13,turn right forward around bed bathroom wait there,"Turn right and move forward around the bed, enter the bathroom and wait there. ","['8255979462744450aef8a399712c0d7f', '1dd50bf3662244b68314b8400ebb66b6', '087babe565fd471381ae7adbf938f5fc', '0a709d588fcd4ae5badd921366074d7a', 'efe359ee05ea46c587196354c2d1cc96', '8b41e8798d78402f9f36b242972d729b', '45ee2d428b7c42a98afe21f68a8fa298']"
14,exit room walk across hallway slightly right across kitchen towards sofas turn walkthrough doorway just right of portraits of family,Exit the room. Walk across the hallway. Turn slightly right and walk across the kitchen towards the sofas. Turn left and walkthrough doorway just right of the portraits of a family. ,"['b64a2ef467bb455aaee16a04bd9d7812', '6a0eb3cedc6847efa4044c75ad7649a8', '67ff5dc94eeb4675ba3a2074ee5ca22c', '491b9b2d5e63400f9b448e5603dd05ae', '0fd8c430bdb34aedb5c11b56ceb13b63', '01b439d39a8f412fa1837be7afb45254', 'b6018ae2d13248f7a12edbf31f70b04d']"
15,exit room into corridor then third door on right wait by massage table,"Exit the room into the corridor, then enter the third door on the right and wait by the massage table. ","['4a153b13a3f6424784cb8e5dabbb3a2c', '28c66f311baf4ffa9cf71e45bf1ca165', '67a696124eb54cb9bb570f28df5fb8ab', 'e58d119418644e51acd0c163a430d648', '8cad92a787594649a7887ce3c3c22d5b']"
16,walk hall walk end of hall right past small refrigerator in hall just outside door,Walk left down the hall. Walk to the end of the hall and go right. walk past the small refrigerator and in the hall. Stop just outside the door. ,"['01b439d39a8f412fa1837be7afb45254', '32c24c4472f346bc9b292f8997b9f82e', '5848b29e18924f5594fbec08340fb7a9', '74a12d0675b54d6193ba63104a6a8e2e', '34d76d6db3484d04a47482685c9ab420', 'b3cb0280416742fc9dcba0d2d9e5d2f7']"
17,exit bedroom then left stairs left of couch wait on third step,Exit the bedroom and then make a left. Go to the stairs located to the left of the couch and wait on the third step. ,"['c9030e71fc29447599a5c21d90261ca5', 'f461fdc9b5c54386bcb1350bf4072015', '1e6190c84052401d8a2435eed54b82aa', 'fa30e6859ca249a78879975b0b659bfb', '0896e14268a54c1faa6a5648eb8eb63b', '959878d8792948b5888684622f4eca36']"
18,straight in house way mirror then left once first door right right in middle of doorway,Go Straight in the house all the way to the mirror then take a left and once you come to your first door take a right and stop right in the middle of the doorway. ,"['0b06e41938c84b91b41b6b14db0529b9', '525eea07ff0b45f49f6a47eb55b6d75e', '7c213023b8a14cf9a77272791de04b9a', 'c73a6f3769bc471588158d99186b80e6', 'f7664517a79b4e2ba69635bffa525d68', '78d6e1d2e0d042af9f1c96b180d449d6']"
19,walk past dining room table television sharp turn through doorway stop at bottom of stairs,Walk past the dining room table and the television. Make a sharp turn left through the doorway and stop at the bottom of the stairs. ,"['6a856f5cb71645558f9f9ee069f37f1b', 'f6c327acf9884d988714467217d67dcd', 'c904c55a5d0e420bbd6e4e030b9fe5b4', 'e85f9caa15a64aebb9e9138395a457d9', 'd2875e02333d4dd991e866786a87c1be']"
20,while animal print sofa turn walking straight past spiderman statue off carpet through door right of pulp fiction poster door on left window on right,"While facing the animal print sofa, turn left and keep walking straight past the Spiderman statue and off the carpet.  Go through the door to the right of the Pulp Fiction poster.  Stop when there is a door is on your left and a window is on your right. ","['ddbcae25c7b84d26808cf0efac5e10de', '7168e3659bcc40de8bfde578bb1fbeb3', '1a9b8e0293ba40dcbd23d31757203903', '8316e9313299447bb1f574aaf8cbec73', 'b15db460058c41e8aa0c0720344daa30']"
21,turn past bed doorway through doorway across hall into kitchen wait,"Turn around and go past the bed to the doorway.  Go through the doorway and across the hall, into the kitchen and stop there and wait. ","['10ac1913d65c422ab6cbda5b9fb5fbf9', '98cb55a4f05240c9b1d600aed0feee58', 'e61a450ffbe3472795b6559f3f36c211', '2c25ceddf2aa4f6182a84f2668b6635b', '858d6ec47f1045bbb9f2e5e0e1b380ae']"
22,turn head through hallway straight into room right at black chairs,Turn left and head through the hallway.  Walk straight into the room.  Turn right and stop at the black chairs. ,"['fc54060df0b540cca6c490e2524ee4e3', '183ac7f2f1eb4905bee16fbb5e4155bd', 'a31805b1b6dc4947a9cf22f16850a142', '96c723cbe63d489295a0cc3a99438f08', '6855b783e2f34c7981b90ddb5de81bd7']"
23,walk out of doorway hard left couch hard left down hallway second pillar left wait by counter,walk out of the doorway take a hard left. when you get to the couch take a hard left. walk down the hallway to the second pillar and take a left. wait by the counter. ,"['61a91234ec4e4083b03a6114ddd3ce21', '7a0c00e7d0854088a292c38eb9c46ff6', 'a475d54e18664630b19f47575a874cf4', '7ee437db8a914c6d8ce7555b3ce6aae4', '7bfd840693034959a2dffb2625026980', 'ca2a1110dcfa4449a6cd735d6cfb9402']"
24,straight into house large glass doors turn wait near kitchen area,Go straight into the house using the large glass doors. Turn left and wait near the kitchen area. ,"['638b72f18fda418394fe583341e9c17b', '877ddff288064faeb2e0b5107bd6a0bc', '804c03492c564949b1d6e951d3cd2649', '50f665df35f04b48a8e138ee19d71d7f', '1b584863928f47c68978bca62781228b']"
25,walk out of bathroom into hallway walk cabinet wall mirror hall walk water cooler into next room ahead walk towards large circular desk area near pamphlets on desk,Walk out of the bathroom into the hallway. Walk passed the cabinet and wall mirror and continue down the hall. Walk passed the water cooler and into the next room ahead. Walk towards the large circular desk area near the pamphlets laid out on the desk. ,"['a4755f88913d48a885da112031e73536', 'e2141db9eb994d8a96ee98faab26bbd4', 'e712e90c48dc4baf9261c51ffc15660b', '4b05fd2202d94a15a1fc8ac641178b7b', '3d69c33d27904da6a126c430cb3eab81', '5fb9a0b5b9794fb290f15e050d81d5bb', '2bf2e4eb6fbd490b95540647ecb4f708']"
26,walk toward table chairs turn through door way walk through doorway walk through massage room walk through door on right in doorway,"Walk toward the table and chairs, and turn left through the door way.  Walk straight through the doorway and walk through the massage room.  Walk through the door on the right and in the doorway. ","['dddeccce9b044629a9ffd5c61e8ea1cf', '498ad4add3424a4eaf28355ded64c622', '96d3ea8a25b347e4b097f070a1cba15e', '6ea742331ac84fb9ae24a1b8d76bcf8a', 'e14074a6c7e0450492bf4c0a6c431357', '49d8e71cc67d45f9863ca6d25a61a2fa', 'cc94b5dda437408a9a166fcdbafa2a48']"
27,turn slightly room right towards stairs wait by small chair,Turn slightly left and exit the room. Turn right and walk towards the stairs. Wait by the small chair. ,"['6c627071aa3448a19a45b0b35ed305b7', '82cb4105387a4ab5a09d82d7ff02a41c', 'f45d421d04e34220b2aaf9246b6dcdd1', 'ae2a7dc3c3e545b98e2fcb374de658d1', 'e4a808c94c004bc7b2e3101c316bb02c']"
28,through wooden door next windows straight ahead turn into bathroom at end of hall,"go through wooden door next to windows, and straight ahead, turn left into bathroom at end of hall. ","['d922a7a5956c4a42af51637f14c165d6', '3d69c33d27904da6a126c430cb3eab81', '4b05fd2202d94a15a1fc8ac641178b7b', 'e712e90c48dc4baf9261c51ffc15660b', 'e2141db9eb994d8a96ee98faab26bbd4', 'a4755f88913d48a885da112031e73536']"
29,down stairs walk towards red sofa turn bathroom,Walk down the stairs and walk towards the red sofa. Turn left and enter the bathroom. ,"['be3d7ae0352d481191e4c9e351e71b08', 'f17bd928d5c84ebbb4d2d8806682f4af', '024edcc6db70425aaa54f5596b0ebda8', '61aa57f78ebf40dd9bc04e27b1a4c80f', '124c7635126f4fefaf3c57742dbe1193', 'b6169d6b759547769509b4d781a8bff6', '69cbdf9fd3b64552b57887b813845cfa']"
30,walk across living room floor next far side of bar,Walk across living room to tile floor. Stop next to the far side of the bar. ,"['b7016dcb34d747d2b18281748a257f5a', '087babe565fd471381ae7adbf938f5fc', '0a709d588fcd4ae5badd921366074d7a', '7a920bf869fd41099e44a0829f818361', '71f79f342cde467ba037a196c4e04f6a', '6ca411a8612d4a569362c6231dcf1b68']"
31,turn around left down hallway right down stairs toward kitchen at stair landing,"Turn around, to the left and walk down the hallway. Turn right and walk down the stairs toward the kitchen. Stop at the stair landing. ","['5062afb29ed34159a1e05c60e6cf6585', '0bc53661f71543df85e5499ea85f74c7', 'e2de0f25e4f2451c82292a347d3a5f55', 'd9d2484fd1b44448b04b6eadf278d9db', '871d8081c12f4c8585e62515f441d69a', '6e136e11116740a6a49af82502f51cee']"
32,turn around then straight once inside of house through doors,"Turn around and then walk straight, stop once you're inside of the house through the doors. ","['af6bb13bb566488b8eea16b18d26c169', 'd71d5842677848669da8517aea6c4e2b', 'faf331eb87d74cc09705b5cac988d05e', '444bc5d6006244e7b609dd9d06fed1f3', '8138835f78064c28b6c9c35a89eda7d6']"
33,hallway past double doors door open room right in there walk past base of beds few feet then at entrance bathroom wait by first sink,"You'll see a hallway.  When you get past the double doors, there will be a door open and you'll enter that room. Turn right and go in there.  Walk past the base of the beds.  Walk a few more feet and then stop at the entrance to the bathroom.  Wait by the first sink. ","['bcd82ce0da1846a58f9d97b00e022af2', '3892d409b66644439f5afcf3d296efbf', '78485dd696e24574a37f81dea58c5f4f', 'ddc9afa8e031453abd45c783fbfeb4aa', '031a6316a244425c8c9a7a43ab6de08d']"
34,walk past island chair up stairs turn inside doorway,Walk past the island and the chair. Walk up the stairs and turn left. Stop inside the doorway. ,"['879ac49bbefd44e89bd7f67bf3fc6a10', '60c086c5d9684e238e9a5e5b59cff42f', 'b558c9f7ab104755b49dd4ef0cbc991e', '00d3b5f7c25a4c34be140266ef2ad250', '0e241cf1a93841d4b2bd94434da632b0', '359203b9978f4f198748a61fe7805cc3', '51741dbbb9d74eef95fc545593cc8d46']"
35,turn around out of office into great room forward past staircase on right dining table on left toward kitchen through doorway with kitchen counter on left walk towards island at island turn through kitchen towards kitchen table that part of room before kitchen table,"Turn around and walk out of the office into the great room.  Keep walking forward, past the staircase on your right and the dining table on your left, toward the kitchen.  Go through the doorway with the kitchen counter on your left and walk towards the island.  At the island turn left and walk through the kitchen towards the kitchen table.  Stop when you enter that part of the room, before you get to the kitchen table. ","['ae0a116c370141909e0ca2bfeeeb323c', 'f5df82be55df4d13af8d03695bad0163', '7025038ba12d4a63a40c866489226fbe', 'f4032225a0c6462ba02f728d031c2638', 'e3eeb7b8deed4a2fa0000daec3538b75', 'a885c9f037fe45cfbf053e98e4e3d205', 'e58daa54fe36484984da0fc3e209ee39']"
36,walk out of bedroom turn walk right of bathroom just inside bedroom,Walk out of the bedroom and turn left. Walk to the right of the bathroom and stop just inside the bedroom. ,"['a903bfca12df44cd9dad5a2ccb79d7bc', '89eeae92b2fe4b68abb274970a931608', '18e3c05b91774b1b9200fa4b1966bf74', 'ad3a2912de974a5690af5050e6ade942', '846c8d973a1a460ca942e15733cddc71']"
37,bottom of stairs turn along orange wall past stone statue through doorway turn at top of steps,"Go to the bottom of the stairs and turn left. Walk along the orange wall, past the stone statue, and go through the doorway. Turn left and stop at the top of the steps leading down. ","['a3fe827d49db4f7caa076c313434d418', 'e0f025c0baa94beba57ea499e3d846c5', '6ab39d830183407cb7ec17206889000d', '74d5b2290be74a1ba052b6fe2320e064', 'e8e2d73795e54b6db89cd32745e79fb9']"
38,turn house left bedroom on left wait in between beds,Turn around and enter the house. Take a left. Enter the bedroom on the left. Wait in between the two beds. ,"['d71d5842677848669da8517aea6c4e2b', 'faf331eb87d74cc09705b5cac988d05e', '444bc5d6006244e7b609dd9d06fed1f3', '9d001c6bc0f64a699fd36a6b9a61266a', '7cb2c4bc9ad84463b4d0c6a91b8c4640', '70f4a1eb60744999ba4a1f63fef62afe', 'eef89e7a055443d8825cf94f092aaa35']"
39,turn right first set of stairs right stop on first landing,Turn right and go down the first set of stairs to the right stop on the first landing. ,"['9c19aeb19e6e4ad98b2a31cc44b9aa7a', 'd38c4ae95f5b4640a2696b923b80d1f4', '9fed9031c0ea482f914d07abfb59970b', 'f523bfbaba0d40f48ff4a8d955c43ac8', '34812a1a581b4f6490268057007f2e1a']"
40,turn then head straight until middle arch grand piano then,Turn left then head straight until you pass the middle arch and get to the grand piano then stop. ,"['69a31cef77324a89bd8e595fdb84792d', 'dac4509f882848258838272f16d18302', '4460e0586719490095d7ac389f302500', '4ad533e309ca4c61856c953afb7876b6', '840cd9be95274178b83c956386943c99', '88a3a2ec4bae471087ac403331020c72', '3769d27ee6f8462e815e9ebdc33af7e8']"
41,walk through room past exercise equipment walk out through open door into hallway down tiled hall past closed doors through arched entry into next hall with mirror on wall walk through open door opposite mirror large room with fireplace in center,Walk through the room past the exercise equipment. Walk out through the open door into the hallway. Walk down the tiled hall past the closed doors. Walk through the arched entry and into the next hall with a mirror on the wall. Walk through the open door opposite the mirror that leads to a large room with a fireplace in the center. ,"['b9439690f831487192bf4e0c82cea15a', '56783c12f5104ec8b2e6debdddc710be', 'c897acc78a8e4555b14b85fc32d41f3e', 'fff5e96c0ba6429f86d5d8b3a74df5e2', '929158cc8c424c099a601a36e0fc2270']"
42,white room with buttons on left side turn in hallway walk straight until circle floor decoration on left step on circle then,Leave the white room with the buttons on the left side and turn left in the hallway.  Walk straight until you see a circle floor decoration on the left.  Step on the circle and then stop. ,"['1920d957cf3d4adab57626a7ccc206b0', '2aef8931ed104272873cbc52701eb2ad', 'cabddb2506ee4bfcb2a1bcfa6625fe28', '30030a9a530b40fc88825ca8fc32f855', 'f378f8971f7b41ccb0f2c1dc14ba290d']"
43,straight then toward round table after round table straight door on left wait there,Go straight then walk toward the round table. After you pass the round table continue straight and go out the door on the left. Wait there. ,"['cf638911e4b74d188c30f79332ed9922', '389f67e9de9b4f729127c2bc2f67a316', 'cec763dd78394e3dac4b14da1611b51a', '96e014c3d5894319b4155277e04ae637', '03e418be259e4659bb47e1734b02ec67']"
44,walk past bottom of stairs right through open door walk into room with couch walk past piano walk through open french door wait on outdoor rug,Walk past bottom of stairs. Make right through open door. Walk into room with couch. Walk past piano. Walk through open french door. Wait on outdoor rug. ,"['d77a892c6e734158b4e2a3622ee3d814', 'ba47fad63d3945a4ba9ce229b8382d56', '64ed61c6e14348b683954265ab72ed55', '0308a6e3a40a42f294b2dfc9b066b080', 'da4bfd9b583547c1bcf6a14e15da4d46', '23b907de91124aa2893d467659eac406', '722c4e53817f48e2aff7099315376b15']"
45,walk along patio area past potted plants along exterior wall of home into front door down hall through open door next hallway with small side table with lamp on top,Walk along the patio area past the potted plants. Continue along the exterior wall of the home into the front door. Walk down the hall and through the open door to the next hallway with a small side table with lamp on top. ,"['cb83ef7d8b3d4fd39d993c933438c127', 'a4d724f38115423284de93129331fdc7', '9297f6e3bbf646c19c811b380f5fbc55', '18940ca3b21745a8bd52557dc4b8abb3', '7b708eb6eca54256976220baf01508de', '050910e36ac9414c91bb44d962153689']"
46,walk past painting right toward red painting through doorway left of by chair,Walk past the painting and turn right. Walk toward the red painting and through the doorway to the left of it. Stop by the chair. ,"['9231543c6c484c939a501338ad8c1db4', 'fd23ee9232f54604bda2e7cb0d4055d1', '5f5b895c833b41afb1db0ba29afce147', 'ccabfad5dfcd47cd821e57a15a58d55c', 'f106c5744f8e444d931ed9bdd12ee3aa']"
47,turn kitchen turn at kitchen until right before yellow couch by picture on right,"Turn left and to towards the kitchen, turn left at the kitchen and go until you are right before the yellow couch by the picture on your right. ","['0d3a3b42009441e2a02200423049d804', '92c89626241c4fbbb9294eb7db7f9da0', '42524ad2f3f44645a1dc3bd8486560cf', '55f38bb2e60d46f49803ff9fc3911b28', '1407cf2da95e4f73951798295db82ab6', 'a6c8016b0fa94ebaa51c2808c6fec8ba']"
48,onto large rug across other side of room toward archway through arched hallway into room with seating,"Go onto the large rug and across to the other side of the room and toward an archway.  Go through the arched hallway, and wait looking into another room with some seating. ","['3d11e46400a14c6cbc0ae42a5057ae97', '36ba7aeeb72e40d69e3e1c775e4bf541', '7bb04eae8e45423e9fe9e1d078a6924f', '1ba7d881e867480585d80c1222f54028', '12142264f293430ebc8092e16b47cba0', 'bde29f48ab814943baf4a7193d143d6e', '994e59a2e5cb469eb29c7ff68c6d49c2']"
49,walk dining table through open sliding doors walk t through arched door on right then hall bedroom doorway,Walk passed the dining table and through the open sliding doors. Walk t Through the arched door on the right. Then walk down the hall to the bedroom doorway. ,"['c2750dd86e7642caaaf189f59f82b843', '768b72a0c6ac4aaa8295d6366f4edded', 'fc7baf0c8ef44b29bd875a726273af7a', 'e4c6ed667e8e43219364bb87076b5909', 'd2c0c06ce09249f9a9105fca6ba197b9']"
50,walk other end of porch stop near railing,Walk to the other end of the porch and stop near the railing. ,"['81e8040e03274d628f9260344e81072c', 'c3cef9dfbba149ecbf67c4375b52a733', '6a15f715d61843b2a84845d392ec0b72', 'f00c8b89577e4b83b2f586b9dc30ff81', '3e977d0fe3aa4a44a944c8cba32a4e68']"
51,exit closet right into bedroom exit door on right stairs wait on rug by bookcase,Exit the closet. Turn right into the bedroom and exit to the door on the right. Go up the stairs. Wait on the rug by the bookcase. ,"['7f7fba6be87346b98da67ef1358adf20', '05c49a8b61034633ad57ae3527dac65d', 'f923d8ec1f32400c864837ba572fe199', '4df525c1410447848d24dedb3c31a7be', '2238391e894144e9aaf38aaa16433153', 'f5a52ba78b2e4772a7315af44e0439e0']"
52,walk toward stairs down stairs on landing,Walk toward the stairs. Walk down the stairs and stop on the landing. ,"['1da0c5eb43fd4722a5f7f5c7d4e18b4e', 'fd433ad8502149ec849c4c51bb989e4a', 'dd6b2993f882400ab51f9e8c38148b7a', '79aedad1206b4eea9c4b639ea2182eb7', '1c91ed40af2246f2b126dd0f661970df', '385019f5d018430fa233d483b253076c', 'fd263d778b534f798d0e1ae48886e5f3']"
53,walk forward near couch on right,"Walk forward, and stop near the couch on the right. ","['b3cb0280416742fc9dcba0d2d9e5d2f7', '34d76d6db3484d04a47482685c9ab420', '74a12d0675b54d6193ba63104a6a8e2e', '5848b29e18924f5594fbec08340fb7a9', '32c24c4472f346bc9b292f8997b9f82e', '01b439d39a8f412fa1837be7afb45254']"
54,exit bedroom past stairs wait in room right of bathroom,"Exit the bedroom, walk past the stairs and wait in the room to the right of the bathroom. ","['ba9af4d3f96d4b47bd45d828f2d61d2c', '3ed7021b489144e9931aa86d6ed282c1', '1015e20d2dca4a01b6cca0ca0d71c29a', 'f0bf7f3b529548a5a2c36fcc9b05b714', '175d0c8d6d7244f5bbeb03190345cb68', '3d0ecd8a8a6f4ba2b3849f2b77083438']"
55,walk past dining area past living room wait,"Walk past the dining area, past the living room, and wait. ","['09c10c580a0e4b4cb4f6f9445c4509e0', 'd12a35cb161641318a92f9e5dd8915db', 'fd22cb9d82364bbdb6ea4fdb051a7721', '1ce731acccb04ec0af8f7992ae21524f', '634ddf341f6443118bea4195d06c6555', '6aca4da5a7974141b5179106e1becd66', 'd950474d24d1474ca4b85b927aa958e5']"
56,walk dining table head way up stairs at top of stairs,Walk passing the dining table and head all the way up the stairs. Stop at the top of the stairs. ,"['00a7d1bfbbdd4e9e92a9586f3a4f5540', 'c9b7a323a72141628f0c48aa7eb3430e', 'a33fe858085149e8908942d0bf98767f', '96490c4da78240058d1f76a07ed95c9d', '68e4c4477aa442cbbb9a9f1e54b9b831', 'f1b191033043441987b8ebf1bb55002c', 'c20f944e9c434804944b0c1251247202']"
57,exit room forward towards living room straight sofas on left staircase on right up stairs at fourth step,"Exit the room, and walk forward towards the living room. Keep going straight passing the sofas on the left towards the staircase on the right. Walk up the stairs, and stop at the fourth step. ","['301baa2b53d54369899be99587972b37', '8e5ae8d7ee55420f80bf433f33e790fe', '30d053d37e614dd999a93cb5c5f41533', 'a5ed9e39260e4273b0cdbda78d3f917d', '1b208b02fa6f46c999355dd1f59f29fb', '6e7445ceeb244238b3162f7fa478bb6a', '63a2a4cb2cba477bba0ad596573efbf9']"
58,turn right past table chairs into hallway right into laundry room wait near sink,Turn right and go past the table and chairs into the hallway. Turn right and go into the laundry room. Wait near the sink. ,"['7fcbcc0b4cd149eb8cacc9a64035dc8c', 'ec2928853f894aa7a626b0acd9558682', 'd102703b15c04d8b9e3922869068dd60', 'c3c936c7eedd44c985bc142e5cd568b4', '8c6c10daaa394125b4bdb198bc99cbad']"
59,walk into house past couch walk into hallway right by couch,Walk into the house and to the left past the couch. Walk left into the hallway and turn right. Stop by the couch. ,"['d84053246d3e4a919e1562009d52f1c6', '12d3b3aa982a491180d7fa0e3231f2af', '8c795a963d3f46e2b830195e9a418b6f', 'f21573f2d2f244fd9e176c94f75b063f', 'da03259fb98d42f2a9b67f29399dc0cd', '480294dc9d564c8b9e9be60153cd6fbf']"
60,head indoors hallway living room stop wait on right hand side of purple wall,Head indoors and take the hallway to the living room. Stop and wait on the right hand side of the purple wall. ,"['0b22fa63d0f54a529c525afbf2e8bb25', '3eb5c4d7ad9a4805b0470cf5f9e3b17c', '6c15ae9a3fc24613b9fcedb3da80aee5', '6ecf3c792e5c48b4921e21fbb3aeff3c', '24df7bedfc814d7e9bd610171c862f7a', '649a58719cd7455ebe18675c9719dfa7', '03a8325e3b054e3fad7e1e7091f9d283']"
61,walk past sink stove right at end of counter top forward into first doorway walk past stairs wait in entryway,Walk past the sink and stove and turn right at the end of the counter top. Walk forward and turn left into the first doorway. Walk past the stairs and wait in the entryway. ,"['494dd8583d9441feb7669b8ee539d037', '343a6c70ea474e92b1918236fcf0326b', '7791c5109cc04bc8b1c56f38aec384a3', 'a5542bba97c44a2cabd742267454fd13', 'e2f80f0b45c5439db45800b5e9126e72', 'f378f8971f7b41ccb0f2c1dc14ba290d']"
62,straight right of round table towards open door wait before first doorway,Go straight sticking to the right of the round table towards an open door. Wait before the first doorway. ,"['01b9c25e9cc946f6a7a53688577e2fc3', '97b67ac0d34d4561ad1b35234105de6f', 'a72aa7b4304f4c318af76653d9950c80', '8dada87b2e6f47cf8c2bc609b7b99c50', '5ec8f0868ac44bbd85851663a777ca9b', '669fb3436cd44c578b743ab544e25a35']"
