src,tgt,path
walk top of flights of stairs stop at very top of stairs,"Walk to the top of the two flights of stairs, stop at the very top of the stairs. ","['b99113566bdc4b3e8937225e42421488', 'e0d208d8f64d48d59aa8a971c3892e29', 'abfdc492f81e4b8e87837b26cde983a8', 'ea33c2a8e88742e19afe11c54680c7e2', 'accd06798cf84596ada8f0cbc36af696', '7f83a9b5299744cc8bc32be5d94108c0', 'a09817a4c04d49d1b8f2badabb7692ae']"
stairs left room on far left once room,"Go down the all the stairs, and take a left.  Enter the room on the far left. Stop once you enter the room. ","['fd263d778b534f798d0e1ae48886e5f3', 'f490656d21134ff79be372d985ad965c', '813bb8880cdf4a24b48d97af1b4443a2', '9200a845d37a4e0ab6cbf58f334acbce', 'e51fa073bf2a449989cd5c29ec46fffa', 'b4e027328a1b492e85e269df23fef364']"
walk out of bathroom right into first doorway on right,Walk out of the bathroom and turn right. Walk into the first doorway on the right and stop. ,"['dba56f7544374a77ae2123640b99debe', '5ef768195c0f4973b27ce733461a1752', 'fa9d2cdccb57422380697e7783d7248f', '4903a8de1d0945b6bd815f11aa2850e9', '4b7c3faa94b34318bc00523ec9b9c6a3', '464db122735c4f57a6c65dbe429b1510']"
down stairs sharp turn up stairs down hall walk into doorway on right,Walk down the stairs and make a sharp turn left. Walk up the stairs and down the hall. Walk into the doorway on the right and stop. ,"['a617de09a3634853a0cdc8b9d5a711d1', '58cdf4425f984bc8bec9ed57b96feff4', '14f2a8bc76f24d2ea495369bfde2f653', '780f24f51de04a70bd30129c8ab9913e', '6c4fa6dfddc1499db228854454bfc61d', '28cd285e6d5545dda080d949bb00f1c0', '9ec5ebcf3edc44e1ba6dd02e8423e5ed']"
down path turn outside glass door,Walk down the path and turn left. Stop outside the glass door. ,"['236a4dea3b6e415baa0606e642d48784', '3eed2cb0dead4d9eb9bd7030ed437dcf', '884d01546f7d45ab977658ff323da87b', 'b8b37a15b628463d9cfacb168332912b', '591d52de25f64bbbb3bc6365669c5a0f', '5791bf29c55c4664b970a4d1adcddf06', 'd2a62238e6a8472381a0111b06f35f72']"
walk past bureau closet right room stop by counter,"Walk past the bureau and closet. Turn right, enter the room and stop by the counter. ","['fe8cd80fdfd14aefb885e48408384db6', '6e2a63a762af433ba81e3eb6dfe0c73f', 'fccf31238735441097bb9b462aac34f7', '81259373b5f748a18863513b926d2c0a', '1cb182460525496b96afe41e8bb4815a']"
walk around piano out room turn stairs at bottom of stairs in front of mirror,"Walk around the piano and out the room.  Turn left and go down the stairs leading down.  Stop at the bottom of the stairs, in front of the mirror. ","['16a3ffd3d2ee4ce0921004f9872428cd', '237606bed97740599e39b32ac6316fe8', 'c0086b5e4e0b41649f73b5c04bb7dbb7', '254f98bd6daa4313b04715ed29a61f88', '85599a90376043339b55e424eeb9aeab', 'c1a3dc19c1154eb79d45f72d4885016d']"
turn right straight by dining table,Turn around and turn right and continue straight and stop by the dining table. ,"['fe2d6243c11d4edb877748f6b6988957', '0d22d1de9f4d4668b333ac24923d8940', '04cdd02138664b138f281bb5ad8b957f', '16f04516e33a4423af79b8f7dc46904c', '075307518bc2495498609ee2ff6dd003', '27e1974cf8af461e90d0f5124a665654']"
turn around way through kitchen past bar stools in doorway straight ahead,Turn around and walk all the way through the kitchen past all the bar stools. Stop in the doorway straight ahead. ,"['43e1809b657148dda75d8760b176c9b4', '415d5d09a188445993f2a8b451d48e91', 'df0ddfb1212245bbbf95a6c94ed19b6c', 'a56b95f00285452db9a95545aed7b5b7', 'a39174aaa3fc4dff9b37f30cc03ab21b']"
straight hallway without,You are going to head  straight down the  hallway without  turning. ,"['7e0b74a0d4754a3f9973ade6bb1739b4', '6b7940e7ecfa416ab2e6b93d3826a935', '60c1842a4b1c4966a90d779f8ba50e38', '7941933608084efc90d01d7a5deecac6', 'c89cdb4427b144148c8d4b0eff05f1bb', '2199fb45c03049ca9130fa58a5e5bfa1', '9f60085423c14bdfbaee38dc2545d7a8']"
turn right corridor first left enter bedroom wait next bed,Turn right to head down corridor.  Take the first left and enter bedroom.  Wait next to bed. ,"['7d4994043088423aa682052ece9719b0', '9a99ebf7c9e947229e4546d8b30040b9', 'f3d04dad3ca84d0c91d16f4d8970bb50', '74be0bce40ab4a599a7172c8bef59304', '96ba4272d14444f7a40b1f7c633f2024', 'ef1bed677e2545629b7b68cf4d181d18']"
pass bed next couch,Pass the bed and stop next to the couch. ,"['13a8c23dab5b473fa8d449a126b949be', 'a7a41dd2adbf4a69a12d49254f8a14e5', '83108d9e987b45c484362f5cda5b1bd1', 'd0fd62a0342b4cf1ba722c39aca257ce', '4b1bbb88b7e444a499ac7c261b4495c1', '2f2cac014c7e4877baf8c45690e5f8a4']"
exit room through hallway into office near leather chair,"Exit the room, move through the hallway into the office, wait near the leather chair. ","['b41bccd9fcf7498e9a30af072d8e3c2e', 'f2e1eac31dd34fc9b84caa47fea535be', '5456afbdce1d49489a6d1a178b3a7840', '044e97a033194bf19af45e3100a644df', '4304b16fd7b744ec8cd9277d0adcb4da']"
down hallway with stairs on left straight in front of couch,Walk down the hallway with the stairs on your left and continue going straight. Stop in front of the couch. ,"['f0f377d341c34670bcd9d861d903d747', 'f2e403f149ae451eb8fc5ab27ec96e9f', '452f930d3b20485088ca14b716189512', 'fe7d2c6830bd45f680b43a6a5298d218', 'c2ccfcbf74824095965c81c64f15081e', '91b2405dc77f4ea7941586109ab53e7f']"
kitchen hall just before outside,Continue down the kitchen hall and stop just before going outside. ,"['6f8d55f24a85428894e82cb9f5f082d6', 'b000c5baa76b454caa1c58c9aac585f6', '0565dcc2a0d54d72b97f26a1a14cebe5', 'abbdc7ac89204f23a935fcb9ccae887c', '97739a403b984dcd8253741a073b18dd', '3182b6eba9ce405f9e1c0af86cc6b862', '39791f422b0244aa84b3d41d9b218f7e']"
walk around table stairs walk office behind staircase in doorway office,Walk around the table and go the stairs heading down. Walk to the office behind the descending staircase. Stop in the doorway to the office. ,"['00a7d1bfbbdd4e9e92a9586f3a4f5540', 'c9b7a323a72141628f0c48aa7eb3430e', 'db0e4e7b77c04948b581a11f633df145', '1227344eaa1f424b83db585fd665fb2a', '7dbbeb8448f94a0ca912bb73561fb1f7']"
stairs right,Go up the stairs and turn right. ,"['8e9f6d822fb04edd9c2217d223af3f9d', 'dc24c0e57e874e40a3ece84d23c012e2', '00e1ca9383af4c7ba86241fdeeb73819', '871249bea9924fdba9937759ff5a22f4', '387707c22d4447f4b8ceff7a4ae26c46']"
exit restroom then left walk painting then right in doorway,"Exit the restroom, then take a left and walk to the painting. Then turn right, and stand in the doorway. ","['6975b20fd2964adcbe00ee81f5afbb2f', 'ff561930e4314f5c8af26ebaf5bed637', '0e45c1af5098415c9bbd3a6ce537c7cb', '4385dfc7f81c413b86bb06658c1ff5c7', '1e61d22315c945378096f3055645d9e1', '5f1b89f0e0f341849fcdab381165cd26']"
walk towards fireplace then right next room right dining room hallway wait near phone,Walk towards the fireplace then turn right and proceed to the next room.  Turn right and the dining room and enter the hallway.  Wait near the phone. ,"['b07554ffc3164d45bfe9410a40632261', '46e170296a7f4b88b50ebeb7e2a27894', 'd807887a425a41249a31c69a41adb313', '28170cad00aa4938a612db2e82628000', '21da82bc068c4d19a1c9168e86c417c2', '54f83ce9bf4543ff8219bd1c450ada78', 'd166ebf97d1b4e1bae5234cb40ad4a50']"
past table head stairs past rocking chairs inside right in hallway bathroom,Go past the table and head up the stairs.  Go past the rocking chairs and inside.  Turn right and stop in the hallway that leads to the bathroom. ,"['04135640920a4ba2b7dc68c679c43903', 'aec90a1137d245ed84d8c1b3e809a1d8', '7980b9f903164d48aaee2dbeb5615796', 'c9ac0c98d16a4105a3214989cac149c0', '48a2541fc50b4a57a609698e2375e9b1', 'ba19aada2e9a47839c0355085f70f7c5']"
walk through door ahead of right turn at second doorway walk into utility room,Walk through the door ahead of you. Make a right turn at the second doorway. Walk into the utility room. ,"['b6beaaff9e014de8b04eb79045739b49', '4d574a196c884caa93b2da69dd36f201', 'ac56847024014b05bcc718f73ccde0b2', 'beaaf39947ee40f7822ed8a383bf6472', '09f015ea8ca94df8841bcea7030bca99']"
exit bedroom other bedroom right next flight of stairs,"Exit bedroom and enter the other bedroom to the right, next to the flight of stairs. ","['8783add8825d4ecf8eb1f2af3c22b8df', '1daae4b7becc43949516096170ce2a76', 'dc189857232643f9a17d5760ebb07b02', 'd72137c926c94532a63bd98193273e22', '2e52341d21b940b5b38a9e26c4cf4200']"
exit through open door immediate left second room on left bathroom wait just inside bathroom,"Exit through the open door and make an immediate left. Enter the second room on your left, which is the bathroom and wait just inside the bathroom. ","['2296da968e464b8db6e6bdba81fbe274', '59bb2a23ea8547ee9a9d05cb436a621b', 'dd500133846248c1b24eea995d7dee4a', 'ac56847024014b05bcc718f73ccde0b2', '0fc2263dc29f4a9183320eddd33edb58', '15b25adcf9bb4a0f8c751138a651dd8b']"
turn degrees straight forward for about meters through kitchen area with wall ovens,Turn around 180 degrees. Continue to go straight forward for about two meters. You will pass through a kitchen area with wall ovens. ,"['63e33ac709a8411687e5b4a36dda1c76', 'e4a4df0cca7d481fa58dd0c483c08da3', '07cd02ed4db64d8bb7280d4c6a53385b', '1f82c88d356249708e9b46448be7034a', 'f988fa11ddd7405f8427445a04494022', '5ef3f0f5642a4858a7dbc2c20dc04842', '861d5b5760744c5b91f9f3fc50b9f5e3']"
walk by glass door right past glass door turn in front of dining room table,Walk by the glass door and turn right. Walk past the glass door and turn left. Stop in front of the dining room table. ,"['6e136e11116740a6a49af82502f51cee', 'fdf3a24fdd1c41b092aa9e5ede5946d1', 'd20808518c8d4844bb76a2e0a7b98ba4', 'b2157583eedf426383de6e6e9753a4da', 'bc280058ef514e16860da03ecb6cdb07']"
turn right way down hall wait beside white wardrobe,Turn right and walk all the way down the hall. Wait beside the white wardrobe. ,"['dd6b2993f882400ab51f9e8c38148b7a', '5be145994f974347850a48cecd04cdcd', 'c55fa077761c4154af4b26da88eee80d', '744eba592017466eab0da528e0cfdf7c', 'f53e378ee8fa4edc8cbf2ffcb4a99899', 'cd680b57443748fcae2de7c8e39970ad', '4307032328c04a388a3e6ae2897aa44a']"
into house walk straight into foyer once at banister between sets of stairs,Go into the house and walk straight into the foyer. Stop once you are at the banister between the sets of stairs. ,"['9081c38ea6364c1e91132285a5cee2f9', 'a58cfc143a484947b0a2c9395e7f11de', '067ad57950864b6482eee91a5bd6f5f5', 'aabe1ec42c7f426a85b709e03c4711e9', '0e59dc94728348e7a3e5e3746f2742ea', '1b07d95cb6784bbebbc116ed20469d65', 'f4810f2f18cb497389628bd8738ba036']"
walk by foot of bed at outside doors next bed,"walk by foot of bed, stop at outside doors next to bed. ","['a8b6824c0dc84fd4bb221e700659b90d', '71f79f342cde467ba037a196c4e04f6a', '7a920bf869fd41099e44a0829f818361', '0a709d588fcd4ae5badd921366074d7a', '156af10f63d84956ba5dc4b9fe3b2140']"
top of stairs until chairs table that right towards bedroom wait there,"Go to the top of the stairs until you see two chairs and one table. Following that, make a right towards the bedroom and wait there. ","['d9b5196ff58c494d8bebdeb3b6ccd061', '51328414aea04771890766f436b40021', '5965958b0a55454d88d45f21d97bc3fc', '63333423642f49caac4871521e93cc45', 'be1a38f2bec74de79395d0a938234d38', '164618f724c64b43934cb95b11c89593']"
turn right stairs right stairs turn dining room with large painting chandelier,Turn right and go down the stairs. Turn right and go down those stairs. Turn left and enter the dining room with the large painting and chandelier. ,"['8d4b6c6b93934835a39c391d39f5a537', '24162b6ef8324ebd85d959273079f239', 'b1d5a917bfb3444f8d13c2ccd91af1b5', '85599a90376043339b55e424eeb9aeab', 'c1a3dc19c1154eb79d45f72d4885016d', '143533f78ff64e93b911ec7868911688']"
straight until chairs on right right then wait near chandelier,Go straight until you pass the chairs on the right. Turn right and then turn left. Wait near the chandelier. ,"['629b626095374e3ab7d9b7ba98f2f7ba', 'fd433ad8502149ec849c4c51bb989e4a', '248492258fd5435c8276f59f63ddf0ef', 'e2f7333559be465d94798c1940b2e582', '7a3f8f06712a413b9d9b422a448b20bd', '3517198fc6744a2eab89d685f8cb93da']"
walk across bridge wait right on second step of stairs,Walk across the bridge and wait to the right on the second step of the stairs. ,"['4e9aca10b4f142a48cde60ca007e614d', 'b4939ad76d9c43d38c082e5dff3c6e22', '3a576ae37f7742b6bc2962583f733be0', '7ec737a602ba4644b6a57cb2f1ef942c', '47094ff79bbe4111a8e2a6be34cac487', '13d9c9e942dc41d681f97bf0989b4bc8', 'b2b6f9bc6773421a90f965ba369a4786']"
past towel racks wait in front of bathroom sink,Go out past the towel racks and go wait in front of the bathroom sink. ,"['4774b20d04fb496fb89b802e0792b334', 'ac23d4db16c24d8ea537b4f81c5605f9', 'bd9c64e70c0d42ddb01fb17716e24903', 'e27a1e250624457f8cbff1781dc8695b', '53b98ee4dfc1481ab5750f44ebdee37c']"
walk forward bedroom outside of bedroom before stairs,Walk forward and leave the bedroom. Stop outside of the bedroom before you go down the stairs. ,"['68f75a181e364970b3f1cf783c0380fa', '14a8edbbe4b14a05b1b5782a884fb6bf', '0f1ba9e425a0452eade2a180cfa41e32', '75bea3b92c924203951655b393e92979', '425e120b2d7742b1a8f0902355908761', '571d716b0cdd430d99c63474c34f0c9c']"
exit laundry room right hall into kitchen wait in hallway across kitchen right,Exit the laundry room and turn right. Go down the hall into the kitchen wait in the hallway across the kitchen to the right. ,"['7b14552fe83b4e76974f711b8fcfc46f', 'e3d01ff572e44b4aa1b3df620ab9eec4', '7f7cc5ccc8a948ada2c5ee60d255aa1e', 'effea130a5984e53bd2bef2bbe4ba4c1', '8025576c59c04913bc7df70a8737ecee', '6e080f6fe8e64a0693b2495914f18dca']"
exit area turn head stairs at landing,"Exit living area, turn left head up stairs. Stop at the landing. ","['951adb0311204b58a0280f0cbcbcfa19', '7cd02069ac1546319b95be27fc04d7b5', '5125c4a0a99f45788e694d5a73ba99c7', '20f70ab4efec496c86529075648caef2', '1b321779a4374c2b952c51820daa9e6c', 'd70997cce0464616a65afcf28d32b41e', '5f8485232eeb4d74af9fdf2894ba058c']"
stairs in right doorway at bottom,Go down the stairs and stop in the right doorway at the bottom. ,"['ed2d5dadd1994487a5815fb8126bf80f', '44f54890c8bf4cb8aa0046f782333e12', '4d4cb9fda3164b6f8b74e99489d40b4b', '6dd909f1a0e74851b2e3a0a1baba65dd', '6991b64d63e44b288e6f6bf4691a8158', 'bec236792d90495f8d6dfc93bb5447c3', '92c3195e612e4fc49fe5b5c687dd5ce5']"
exit bathroom through doorway turn on carpet toward bed turn on hardwood flooring wait by kitchen sink,Exit the bathroom through the doorway and turn left. Walk on the carpet toward the bed. Turn left on the hardwood flooring and wait by the kitchen sink. ,"['ef638e508e054c4aabd49b38d1b88fc7', '8dba9ff900b14f9b84ead660f5f7f701', '0b02e18654324edd8d74c078b66bfb20', 'aebb1de49d21485e8bef7633dfb58761', '565cc21cd28b4ee6bb5ba83c5270c032']"
end of counter turn beside double chest of drawers straight beside large snail on floor,"Go to the end of the counter, turn left, beside the double chest of drawers turn left, go straight, stop beside the large snail on the floor. ","['c32282e053ad450e9187d9d95361b124', 'f6872e6001054c67a12371a542c7defe', 'fdf0fc24f7c549ccbb78e972c8024fa9', 'a8cb8984630b456a96923ef0d7c3aeb3', '3fd2f1d849de4e9f8c07863c845db6b5']"
walk out of bathroom toward dining room table chairs right past stairs by coffee table,Walk out of the bathroom and toward the dining room table and chairs. Turn right and walk past the stairs. Stop by the coffee table. ,"['dbd219920e0d4b44a85e550ca51cc56a', '565f7e74c6074380b1e3b535a759661c', '290cf108dddc4095927677d0d56b7a7a', 'cbcae92ea4b34638a877dda9b4bd7be6', 'ff0c027e9f0a4cd784e4851736c397a4', '07828abd68f54c2ba9ede7aa649932df', '5278ace992664bbcb69d686a7be2c3b3']"
sharp turn around bed into bathroom stop,Make a sharp turn left around the bed and into the bathroom and stop. ,"['55b0e784538f4a80a9750ff8b1f3b4c6', '95d793d922e54671a4debca5c926c860', '7aaefefd70ef448eb38651869d819d0e', '255adf75751547fbb13b7f5d83c7166f', '7f6aa85262424e7da75f62063d397514', '9eedcaf6ec54441ba2454e247dd957db']"
walk through kitchen turn wait in hallway outside first bedroom on right,"Walk through the kitchen, turn left and wait in the hallway outside the first bedroom on the right. ","['caa5b0dce8fc45a8982f917d041cf441', 'e394a9eecb63432b804ebb2e96a563b5', '24a5c4d4de2e47fba4cd35a2cf63bafe', '8025576c59c04913bc7df70a8737ecee', 'effea130a5984e53bd2bef2bbe4ba4c1', '7f7cc5ccc8a948ada2c5ee60d255aa1e']"
head upstairs right at end of hall wait in office at end of second hallway,Head upstairs and turn right at the end of the hall. Wait in the office at the end of the second hallway. ,"['e2de0f25e4f2451c82292a347d3a5f55', '0bc53661f71543df85e5499ea85f74c7', '5062afb29ed34159a1e05c60e6cf6585', '1e61d22315c945378096f3055645d9e1', '4385dfc7f81c413b86bb06658c1ff5c7', '533a4cd1505a486fa8801bb3aa38f2e3', 'c657ac66dec0483683d0d6356992b868']"
stairs right into room left straight few steps into doorway stop,"Facing the stairs go right into the room, and make a left and go straight and take a few steps into the doorway and stop. ","['7f0b1a5b010945c1b27da9828360d402', '9ba405ffbcb5460b8fa5693ed68e5bbd', '13ca7921f59a4500bac94fc1867636ee', '3789920326234f7a91bde25661a0a3fc', '1015e20d2dca4a01b6cca0ca0d71c29a']"
exit bedroom left into closet/bathroom area wait there,Exit the bedroom and take a left into the closet/bathroom area and wait there. ,"['6e0d4449a79b4773ac025e83ffff21b1', '183fe67ff4cd4d3683b7a98694a09447', 'efcde89f131d4c51b2e9c22dd7e9a5e5', 'd53f0ba834c44251a32bf361031c931a', 'dcbe971afee14c57beb3c76980ead77a']"
enter through glass doors wooden plank stairs on right doorway next bear head wait there,Enter through the glass doors. Go up the wooden plank stairs on the right. Enter the doorway next to the bear head and wait there. ,"['9d26c238860b4508aaff3299af4c1681', 'b0e48743d80b4fbb9a9c7dfe5e08f49d', '8836420cacbe4c37a57a8f8645da320b', '82e8acfab99d4441ac4da5bf22c2642d', 'ed79b51efdac434cb12bcd3d5e7fd112', 'db8d7c22a6764639ab807ec3dec69a8b']"
turn right across room past stairs next room little before sliding glass door,Turn right and walk across the room past the stairs. Stop when you reach the next room a little before you reach the sliding glass door. ,"['cb09a0f41b7746549d36806cf79f77a2', 'a8cab750a6ac49f38a432d5fab1f2859', '0e6ac078acf94f37addd92a848bf1558', 'c8877195d3ad4ea5a4736bf0ed6979c5', '07828abd68f54c2ba9ede7aa649932df', 'cfb1d3bfd87d4e87a115ad9553e7a0df']"
walk into hallway turn straight hall stop by set of double doors on right,Walk into the hallway and turn left. Walk straight down the hall and stop by the set of double doors on the right. ,"['527045377f974a7d8853d919218b98bd', '97dfbaecdc3f417385083e8302b2b694', '0cf943705a6f4cf798dbcc605c811a50', '735cc8eae07743a1aa5d41ba878b0eb4', '057625814959401f8e969f5bfbf6cca0', '91b29545634c4754bfe914564d6c950f']"
stairs turn into kitchen through open glass door halfway between door kitchen sink,Go down the stairs and turn left. Walk into the kitchen through the open glass door. Stop halfway between the door and the kitchen sink. ,"['30c97481412946f292272d28af5d00dd', 'b72bbf5f815e43bca6bf4509fd7c9258', '5c1275543c164a4f9bc60b08d8cb5c43', 'c92b9bd8b885423b8d6d1a7a58d2ca2c', '1349a908694c4494999f72c36e52e1bf', '4f8154a0785a4edfa6b5c73a4bbcc066', 'bd5b0fbb5cce42aaac64b219b1a157fd']"
turn into hallway then again then right before sinks,Turn left and go into the hallway then turn left and turn left again. Then stop right before the sinks. ,"['82cb4105387a4ab5a09d82d7ff02a41c', 'f45d421d04e34220b2aaf9246b6dcdd1', 'ae2a7dc3c3e545b98e2fcb374de658d1', 'e6e19fd376c544b58035a32bd44ed8d4', '4ed50a2f86384de599f06df862d17b10', 'c5fe339f452f4eddb9659f812c38c748']"
away from stairs down hallway room at end of hallway in doorway recreation room,Walk away from the stairs and walk down the hallway. Enter the room at the end of the hallway. Stop in the doorway to the recreation room. ,"['5e102e6df0e544578c407d3b4373f737', '810702d87ddc4964a583f8b7a3b9c43c', 'f6af6b4247ea4353b90f8bce6e05f58a', 'aff833f86ff847a7bcf24bea207c91ad', '416df61743e24e828609f0698df3f51b']"
straight past godfather poster toward mirrors corner staircase,Go straight past the Godfather poster and toward all the mirrors and make the corner and go to the staircase. ,"['372772e3bfcb4cec94a25ed6b28981cf', 'c8eb2af4b3ac45dc8dbdd709e8030426', '0f5d0c2dea9b4929a9c3c37ef159b360', '4faab9d5f15a40fa8620efc0ad9e9db2', 'b867ba11a0e84506aaeb257e1ef85388', '8b7469d12514415cada466823f2a7063', '9177fe5f923242f0b1ba16c7a058e5ac']"
walk through doorway in middle of frosted glass wall right hallway turn at brick wall in front of first doorway on left,"walk through doorway in the middle of frosted glass wall, turn right down hallway, turn left at brick wall, stop in front of first doorway on your left. ","['4e6be7c61dea4540bc4bff18fe1e135f', '4c8e7490a718427e9fed59ec92db9d47', 'e5952f311a8643009693829bf816760f', 'e8825d07c3f643b3a12216b3a86084f2', 'c04cae746d3740608977c7c126e4d83d']"
hall into bedroom on right wait in en suite bathroom,Go down the hall and into the bedroom on the right. Wait in the en suite bathroom. ,"['c657ac66dec0483683d0d6356992b868', '533a4cd1505a486fa8801bb3aa38f2e3', '4385dfc7f81c413b86bb06658c1ff5c7', '1e61d22315c945378096f3055645d9e1', '5f1b89f0e0f341849fcdab381165cd26', '57bdea1f5113402d9b4a65450e030424', '21e7d627b7b34355a52f3c88cb2ad446']"
