src,tgt
walk through glass door between white chairs bedroom turn past foot of bed right after bed past first doorway towards second doorway on left towards bathroom stop,"walk through sliding glass door between two white chairs to enter bedroom, turn left to walk past foot of bed, turn right after bed, past first doorway, walk towards second doorway on left towards bathroom and stop. "
pass white couches right at beginning of steps,Pass the white couches and wait right at the beginning of the three steps. 
walk toward stairs right before,Walk toward the stairs and stop right before them. 
turn right at table walk between couches turn at bottom of stairs,"Turn right at table and walk between couches, and turn left, wait at bottom of stairs. "
stairs straight left into kitchen at end of living room in kitchen doorway,Go up the stairs and go straight. Take a left into the kitchen at the end of the living room. Stop in the kitchen doorway. 
stairs right up last steps onto hardwood floor straight in doorway on left,"proceed up the stairs, curve right walk up last steps onto hardwood floor, continue straight and stop in the doorway on left. "
stairs walk past back of sectional sofa on right wait at threshold of dining room,Walk up stairs. Walk past the back of the sectional sofa on the right. Wait at the threshold of the dining room. 
turn doors directly ahead walk dining table wait there,Turn left and enter the doors directly ahead. Walk to the dining table. Wait there. 
walk past pool on left grass on right house wait at table,"Walk past the pool on the left and the grass on the right. Enter the house, and wait at the dining table. "
head straight pool then into house large glass door wait by large black glass table with grey chairs,Head straight and pass the pool then go into the house using the large glass sliding door. Wait by the large black glass table with the grey chairs. 
straight down stairs once through door at bottom,"Go straight and down the stairs, stopping once passing through the door at the bottom. "
down spiral staircase through doorway at bottom stop at top of stairs,"Walk down the spiral staircase, and walk through the doorway at the bottom and stop at the top of the stairs. "
down spiral stairs wait at landing by doorway,Walk down the spiral stairs and wait at the landing by the doorway. 
turn towards bathroom door exit through doorway,Turn towards bathroom door. Exit. Go through doorway. 
walk forward left towards wood out of door into hallway in hallway walk into main reception hall in main room stop between first table doorway behind,Walk forward and go to your left towards the wood door.Go out of the door and into the hallway. In the hallway walk straight into the main reception hall. In the main room stop between the first table and the doorway behind you. 
walk sink through entrance of women bathroom down hall dining room area near open double doors on left,Walk passed the sink through the entrance of the women's bathroom. Walk down the hall and towards the dining room area. Stop near the open double doors on the left. 
exit bathroom into hall turn into room next with vase,"Exit bathroom into hall, turn left, walk into dinging room and stop next to table with vase. "
through bathroom left after bathroom past dining room table by round table with vase on top of round rug,Go through the bathroom. Take a left after exiting the bathroom and go past the dining room table. Stop by the round table with a vase on top of the round rug. 
walk through door on left right into hallway turn right at island walk past dining room table chairs by table with plants on,Walk through the door on the left and turn right. Walk into the hallway and turn left. Turn right at the island and walk past the dining room table and chairs. Stop by the table with the plants on it. 
exit bathroom turn room door on left right toward table chairs wait there,Exit the bathroom. Turn left and exit the room using the door on the left. Turn right and walk toward the table and chairs. Wait there. 
turn right bathroom turn bedroom via door left right towards chairs table wait just before chairs,Turn right and exit the bathroom. Turn left and exit the bedroom via the door closest to your left. Turn right and walk towards the chairs and table. Wait just before the chairs. 
bathroom bedroom right into dining area once in front of liquor cabinet,"Leave the bathroom, and the bedroom. Take a right into the dining and kitchen area. Stop once you are in front of the liquor cabinet. "
walk sink faucet granite counter straight door towards office glass table there,Walk straight passing the sink faucet granite counter. Keep walking straight to enter the door leading towards the office glass table and stop there. 
walk through kitchen past pantry cabinets walk into dining room outside of bathroom,"Walk through the kitchen, and past the pantry cabinets. Walk into the dining room and stop outside of the bathroom. "
turn left down kitchen past center countertop down hallway in front of open door,Turn to the left and walk down the kitchen past the center countertop. Walk down the hallway and stop in front of the open door. 
fitness area right stairs walk patio door at end in patio doorway,Leave the fitness area and take a right. Go up the stairs and walk to the patio door at the end. Stop in the patio doorway. 
walk out of gym room right steps into office stand in doorway balcony,Walk out of the gym room and turn right. Go up the two steps into the office. Stand in the doorway to the balcony. 
exit exercise room right past bookshelf step out on patio wait near patio set,Exit the exercise room and turn right.  Walk past the bookshelf and step out on the patio.  Wait near the patio set. 
turn bathroom into area once in area turn dining room once in dining room turn alongside table at end straight into doorway kitchen stop,"Turn around and exit the bathroom into the sitting area. Once in the sitting area, turn left and enter the dining room. Once in the dining room turn left and walk alongside the table. At the end, walk straight into the doorway to the kitchen and stop. "
walk out of bathroom towards red chairs in between red chairs turn through doorway turn before room table walk straight through doorway before kitchen island,"walk out of bathroom towards red chairs, walk in between two red chairs and turn left to walk through doorway, turn left before you reach dining room table and walk straight through doorway, stop before you reach kitchen island. "
exit room walk towards armchairs.turn room through archway towards dining room exit that room into kitchen in front of granite counter top,"Exit the room and walk towards the armchairs.Turn left, and leave the room through the archway towards the dining room. Exit that room and go into the kitchen. Stop in front of the granite counter top. "
pass table chairs steps stairs on right into room on right wait there,Pass the table and chairs. Go up the steps. Pass the stairs on the right. Go into the room on the right and wait there. 
through dining room up steps wait in alcove next front door,"Go through the dining room and up the steps. Wait in the alcove, next to the front door. "
through room towards steps staircase on right into doorway on right,"Go through the room towards the steps and passed the staircase on the right, step into the doorway on the right and stop. "
kitchen through door on right of stove dining room across next table on right,Leave the kitchen through the door on the right of the stove. Enter the dining room across and stop next to the table on the right. 
turn kitchen living area dining room wait next table with lamp on,Turn around and exit the kitchen and living area. Enter the dining room and wait next to the table with the lamp on it. 
between couch counter into big archway then into archway step in then,"Go between the couch and the counter, into the big archway, and then straight into the smaller archway, take a step in and then stop. "
stairway right at couch,"Go down the stairway and take a right, stopping at the couch. "
downstairs right set of stairs into living room wait just at bottom of stairs,Go downstairs and to your right. Go down another set of stairs into the living room and wait just at the bottom of those stairs. 
down stairs then right second set of stairs into living area just before white couch,"Down the stairs then move right down the second set of stairs into the living area, stopping just before the white couch. "
indoors right on second door turn straight until white chair then,Go indoors. Turn right on the second door. Turn left and walk straight until you get to a white chair then stop. 
walk through doorway second right into kitchen turn through kitchen into next room television on left,Walk straight through the doorway and take the second right into the kitchen. Turn left and proceed through the kitchen into the next room. Stop when the television is on your left. 
enter home enter second doorway on right kitchen turn through kitchen by tv wait here,Enter home.  Enter second doorway on the right to enter the kitchen.  Turn left and walk through kitchen.  Stop by TV.  Wait here. 
exit bathroom past tub tv stop in doorway on left,Exit the bathroom. Go past the tub and tv and stop in the doorway on the left. 
walk through doorway left at door after dresser at door,"Walk through doorway, take a left at the door after the dresser, stop at door. "
bathroom walk past bed in wooden doorway into main room,Leave the bathroom and walk past the bed.  Stop in the wooden doorway looking into the main room. 
bathroom bedroom in front of door bedroom,Leave the bathroom and enter the bedroom. Stop in front of the door to exit the bedroom. 
walk past vanity over polar bear rug right turn into bedroom wait next thermostat,Walk past the vanity over the polar bear rug. Make a right turn into the bedroom. Wait next to the thermostat. 
turn right just inside bedroom,Turn right and stop just inside the bedroom.
doorway of bathroom at end of hall wait there,Go to the doorway of the bathroom at the end of the hall and wait there. 
stand in doorway of bathroom,Go stand in the doorway of the bathroom. 
straight until end if hallway into room on left wait there,Go straight until you get to the end if the hallway and go into the room on the left. Wait there. 
walk past refrigerator on rug by beanbag chair,Walk past the refrigerator and stop on the rug by the beanbag chair. 
walk forward past kitchen then right wait near window,"Walk forward past the kitchen, then turn right and wait near the window. "
walk through kitchen right after refrigerator on rug under mirror,Walk through the kitchen and take a right after the refrigerator. Stop on the rug under the mirror. 
bathroom right in bedroom into office in office stop in front of desk closest trash bin,Leave the bathroom and take a right in the bedroom into the office. In the office stop in front of the desk closest to the trash bin. 
turn left past double sink veer left into room office by first corner of desk wait,"Turn to the left and go past the double sink.  Veer to the left.  Go into that room, it's an office.  Stop by the first corner of the desk you come to.  Wait. "
exit restroom by towards opened door once door opened door left left into left door then right into room full of bookcases table with chairs,"Exit the restroom by walking towards the opened door. Once walking closer to the opened door, there will be another opened door to the left. Make a left into the left door, then make a right into a room full of bookcases and a table with two leather chairs. "
walk towards living room then through hallway into room straight ahead wait at entrance room,Walk towards the living room. Then walk through the hallway and into the room that is straight ahead. Wait at the entrance to the room. 
walk out of kitchen into living room left walk into hallway past living room in hallway into bedroom ahead in teh bedroom stop once inside doorway,Walk out of the kitchen heading into the living room. Hang a left and walk into the hallway past the living room. In the hallway go into the bedroom straight ahead. In teh bedroom stop once you are inside the doorway. 
straight across room slight through opening walk bedroom door stop,"Go straight across the room, and turn slight left through the opening. Walk straight to the bedroom door and stop. "
walk dining table turn on very first corner library room stop at very first white chair on left,Walk straight passing the dining table. Turn left on the very first corner entering a library room. Stop at the very first white chair on the left. 
away from red wall straight over rug through doorway right of small table sculpture stand in front of white chair on left,"Walk away from the red wall, straight over the rug and through the doorway to the right of the small table holding a sculpture. Stand in front of the white chair on your left. "
past table then into second door from left in white chair right by light blue couch,Go past the table and then into the second door from the left. Sit down and wait in the white chair that is right by the light blue couch. 
walk past lounge chairs in front of patio chairs,Walk past the lounge chairs and stop in front of the patio chairs. 
walk just left across front of sunning beds wait by doorway next living room/kitchen area,Walk just to the left and go across the front of the sunning beds and wait by the doorway next to the living room/kitchen area. 
turn right walk by base of chairs on towards house about feet away from house wait,"Turn to the right and walk by the base of the chairs.  Continue on towards the house.  When you are about 5 feet away from the house, please stop.  Wait. "
exit bathroom turn through doorway then right past series of framed pictures on wall left right again at entrance room,"Exit the bathroom and turn left, to walk through the doorway. Then turn right to walk past a series of four framed pictures on the wall to your left. Turn right again and stop at the entrance to the room. "
walk out of closet right by bed,Walk out of the closet and turn right. Stop by the bed. 
out of closet right then right again into bedroom wait near bed,Go straight out of the closet. Turn right and then turn right again to go into the bedroom. Wait near the bed. 
walk past stairs down hallway with framed art on left after through door at end into bedroom just after room,Walk past the stairs and down the hallway with the framed art on the left.  After going through the door at the end into the bedroom and stop just after entering this room. 
straight hallway stairs on right straight until into room wait near bed,Go straight down the hallway. Pass the stairs on the right. Continue straight until you go into a room. Wait near the bed. 
travel hallway past stairs door at end of hallway stand near bed,"Travel straight down the hallway past some stairs, enter the door at the end of the hallway and stand near the bed. "
turn next white robes,Turn around and wait next to the white robes. 
closet bathroom in front of shower,"Leave the closet, and enter the bathroom. Stop in front of the shower. "
exit closet walk into bathroom past sinks on left in front of shower,Exit the closet and walk into the bathroom. Go past the sinks on your left and stop in front of the shower. 
walk towards refrigerator then right past dining table bedroom at end walk through bedroom past bed tub in doorway bathroom,Walk towards the refrigerator and then turn right.  Walk past the dining table and enter the bedroom at the end.  Walk through the bedroom past the bed and tub and stop in the doorway to the bathroom. 
walk left of long table toward living area into bedroom on left in doorway of bathroom,"Walk to the left of the long table, toward the living area. Turn into the bedroom on the left. Stop in the doorway of the bathroom. "
pass dining room table then through door on left bed tub door ahead wait near toilet,Pass the dining room table then go through the door on the left. Pass the bed and the tub and go to the door straight ahead. Wait near the toilet. 
exit room turn past pool into hallway wait there,Exit the room. Turn left. Go past the pool and straight into the hallway. Wait there. 
turn right plants diamond window in entryway,Turn around and go to your right. Pass the plants and the diamond window and stop in the entryway. 
exit spa room turn past treadmill walk past pool wait in hallway by large potted plant,Exit the spa room and turn left to walk past the treadmill. Walk past the pool and wait in the hallway by the large potted plant. 
walk outside along sidewalk right onto stone pathway next pool on first stone,Walk outside along the sidewalk. Turn right onto the stone pathway next to the pool. Stop on the first stone. 
exit building walk past pool wait on steppingstones near hot tub,"Exit the building, walk past the pool and wait on the steppingstones near the hot tub. "
step outside along sidewalk pool on right onto stones on right,"Step outside and go along the sidewalk, go passed the pool on the right and stop onto the stones on the right and stop. "
bedroom walk straight hall once brown leather chairs on left left bedroom in doorway before bedroom,"Leave the bedroom and walk straight down the hall. Once you pass the brown leather chairs on your left, take the left to the bedroom. Stop in the doorway before you enter the bedroom. "
exit door on left hall until chairs chairs at door on left,Exit the door on the left and go down the hall until you reach the chairs. Pass the chairs and stop at the door on the left. 
walk through door of bedroom straight towards brown leather chair stop,"Walk through the door of the bedroom, walk straight towards the farthest brown leather chair and stop. "
stairs level right down stairs at bottom level stop,"Go down the stairs to the level, make a right and go down more stairs, at the bottom level stop. "
walk towards stairs first flight of steps right second flight of steps at bottom of stairs,Walk towards the stairs and go down the first flight of steps. Turn right and go down the second flight of steps. Stop at the bottom of the stairs. 
stairs between pillars right second stair at bottom of staircases,"Go down the stairs between the two pillars, and go right down the second stair set. Stop at the bottom of the staircases. "
turn right walk through door straight in front of lockers,Turn to your right and walk through the door. Keep walking straight and stop in front of the lockers. 
walk into door on left into bathroom stop at set of lockers on right,"walk straight into door on the left, continue into bathroom straight stop at set of 4 lockers on your right. "
away from circular desk down hallway on left past water machine lockers long mirror on right right past mirror,"walk away from the circular desk, down the hallway on the left. Proceed past the water machine and lockers. There will be a long mirror hanging on the right and stop right past the mirror. "
walk with guardrail on right in doorway next elevator in doorway,Walk with the guardrail on your right. Turn left in the doorway next to the elevator. Stop in the doorway. 
turn right down end of hallway through door left of elevator stop,Turn right and go down to the end of the hallway. Go through the door to the left of the elevator and stop. 
walk along balcony with on right towards elevator turn beside fire extinguisher in doorway of bedroom,"Walk along balcony with railing on the right, walk towards the elevator.  Turn left beside the fire extinguisher, and stop in the doorway of the bedroom. "
down hallway wall art hallway past laundry room stop at wooden cabinets on right of hallway,Walk down the hallway passed the hanging wall art. Continue down the hallway past the laundry room and stop at the wooden cabinets on the right of the hallway. 
down hall until brown closet doors on right then,Walk down the hall.  Keep  going until you get to the brown closet doors on the right.  Then you will stop and wait. 
walk down hall until digital thermostat on left,Walk straight down the hall until you reach the digital thermostat on your left. 
enter home through slider walk across living room main front entry beside bathroom,Enter home through slider and walk across living room to main front entry. Stop beside bathroom. 
walk inside right white sofas walk towards white round table with white vase white flower straight towards white table on left side of wall outside room next,"Walk inside, and turn right passing the white sofas. Walk towards the white round table with the white vase, and white flower. Walk straight towards the white table on the left side of the wall, and stop outside the room next to it. "
inside right at round table turn towards front door turn at front door into bathroom in doorway bathroom,"Go inside and turn right.  At the round table, turn left and walk towards the front door.  Turn left at the front door and go into the bathroom.  Stop in the doorway to this bathroom. "
walk across patio into bedroom wait next area in bedroom,Walk across the patio into the bedroom. Wait next to the seating area in the bedroom. 
walk towards house into bedroom off balcony just on inside of door way,Walk towards the house and into the bedroom off the balcony and stop just on the inside of the door way. 
move between chairs towards house ahead through open patio doors inside as soon as house black white rug stop just inside doorway before rug,Move between the two covered chairs and towards the house. Proceed ahead through the open patio doors that lead inside. As soon as you enter the house and are facing the black and white rug stop. You should be just inside the doorway (before you get to the rug). 
up stairs left wait at top,Walk up the stairs to the left and wait at the top. 
up stairs wait at top of stairs,"Walk up the stairs, wait at the top of the stairs. "
walk towards up stairs on second stair from top,Walk towards and up the stairs. Stop on the second stair from the top. 
down hallway onto large rug walk past large round coffee tables turn at second coffee table wait at first set of doorways,Walk down the hallway and onto the large rug. Walk past the large round coffee tables. Turn left at the second coffee table and wait at the first set of doorways. 
railing right straight through room left of room turn into archway chairs in between doorways,"Go passed the railing to the right and go straight through the room to the left of the room, turn left into the archway passed the chairs and stop when in between the two doorways. "
with stairs right wall with sets of doors outside head towards doors turn last vaulted hallway on wall left at midpoint of vaulted hallway between doors,"With the stairs to your right and you facing the wall with three sets of doors going outside, head towards the doors. Turn left and enter the last vaulted hallway on the wall to your left. Stop at the midpoint of the vaulted hallway between two doors. "
forward towards foot of stairs then ninety degrees left narrow hallway steps at bottom of steps room on left with treadmill,"Go forward towards the foot of the stairs, then turn ninety degrees to the left and continue down the narrow hallway, going down three steps. At the bottom of the steps, enter the room on the left with the treadmill. "
into hallway down first set of steps wait inside double doors on left,Go into the hallway and down the first set of steps. Wait inside the double doors on the left. 
exit room turn left hallway down steps then into room wait near treadmill,Exit the room and turn left. Go down the hallway and down the three steps then turn left and go into the room. Wait near the treadmill. 
stairs then right toward round black table with white chairs after table chairs right left wait near black rectangle table with white chairs,Go down the stairs then turn right. Walk toward the round black table with the white chairs.  After you pass the table and chairs turn right. Turn left and wait near the black rectangle table with the white chairs. 
turn bottom of staircase walk ahead few steps right dining room right immediately past dining table turn dining room kitchen few steps left wait there,"Turn left and walk to the bottom of the staircase. Walk ahead a few steps and turn right. Enter the dining room and turn right immediately. Walk past the dining table, turn left and exit the dining room. Enter the kitchen and walk a few steps to the left and wait there. "
down steps right past table chairs past arched window into kitchen turn in front of table chairs,Walk down the steps and turn right. Walk past the table and chairs and and past the arched window into the kitchen. Turn left and stop in front of the table and chairs. 
stand so that door behind straight past pool shrubbery just before doorway on opposite side from,Stand so that the closest door is behind you and walk straight.  Walk past the pool and shrubbery and stop just before entering the doorway on the opposite side from where you started. 
walk forward then at door,walk forward then stop at the door. 
walk across yard wait in front of doorway with flower tapestry,Walk across the yard and wait in front of the doorway with the flower tapestry. 
bed with white comforter in front of through open doorway on right directly in front of toward stairs head up stairs once top of chair steps on left couch on right,You are looking a a bed with a white comforter in front of you. Head through the open doorway on the right directly in front of you toward the stairs. Head up the stairs. Stop once you get to the top of he stairs. You will have a chair and more steps on your left and couch on your right. 
room towards up small flight of stairs once top of stairs,"Leave the room and go towards, and up the small flight of stairs. Stop once you reach the top of the stairs. "
left past dresser bedroom stairs at top of stairs,Make a left past the dresser. Exit the bedroom and continue up the stairs. Stop at the top of the stairs. 
walk into home through living room area past bar stools counter top into hall small step past stairwell walk through open door outside,Walk into the home and through the living room area past the bar stools and counter top. Continue into the hall up the small step and past the stairwell. Walk through the open door leading outside. 
inside couches on right conitnue straight stairs ont door on straight ahead outside,Go inside. Pass the couches on the right and conitnue straight. Pass the stairs ont he rigvht.Go out the door on straight ahead and wait outside. 
turn house walk straight across sitting room up onto platform with stairs walk past stairs out door on left once outside,Turn around and enter the house. Walk straight across the sitting room and step up onto the platform with the stairs. Walk past the stairs and out the door on the left and stop once you walk outside. 
door on left then into other room right into hallway wait there,Go out the door on the left and then turn left and go into the other room. Turn right and go out into the hallway and wait there. 
turn then bedroom ahead wait there,Turn left and then enter the bedroom ahead. Wait there. 
through archway with white windows star on floor through doorway into bedroom towards bed slight right at intersection,"Go through the archway with the white windows, go passed the 4 pointed star on the floor and through the doorway, go into the bedroom towards the bed, make a slight right and stop at the intersection. "
walk towards mirror on wall right exit through door right zebra painting next wooden door wait beside giraffe couch,"Walk towards mirror on wall.  Turn right and exit through the door.   Make another right, passing the zebra painting.  Enter the next wooden door, and wait beside the giraffe printed couch. "
exit closet right room right straight into room turn wait near red white bench,Exit the closet. Turn right. Exit the room. Turn right. Go straight into the room. Turn left and wait near the red and white bench. 
exit closet right forward until corridor with stone flooring right again into room ahead after veer left slighting in front of backless settee,"Exit the closet and turn right. Move forward until you reach the corridor with the stone tiled flooring and turn right again. Continue into the room ahead and after entering, veer to the left slighting and stop in front of a backless settee. "
exit sauna massage room left straight into diagonal doorway couple steps in,"Exit the sauna, exit the massage room, take a left, go straight into the diagonal doorway, take a couple steps in and stop. "
exit sauna walk through doorway on left turn then through second doorway wait in bathroom by partition,"Exit the sauna and walk through the doorway on the left. Turn left, then walk through the second doorway. Wait in the bathroom by the partition. "
enter room with beds out door on left side of second bed turn into second doorway on left after walk into room in front of first panel of screen in room,Enter the room with the two beds and walk out the door on the left side of the second bed.  Turn left and go into the second doorway you pass on the left after exiting.  Walk into the room and stop in front of the first panel of the screen in the room. 
straight toward tv couches then way down hallway until garage stop,Go straight toward the tv and pass the couches then turn left and go all the way down the hallway until you get to the garage and stop. 
turn behind couch turn room walk towards door in front of garage at doorway,Turn left and walk behind couch. Turn left and exit the room. Walk straight towards the door in front of you leading to the garage. Stop at the doorway. 
exit area through doorway left of tv walk end of hall in doorway garage,Exit the sitting area through the doorway to the left of the TV. Walk to the end of the hall and stop in the doorway to the garage. 
steps into room with light right doorway into hall,Go up the steps into the room with the hanging light. Turn right and enter the doorway into the hall. 
up stairs right through door end of hall next doorway,Walk up the stairs and take a right. Walk through the door a the end of the hall and stop next to the doorway. 
towards dining room table turn right before through doorway across room wait into area,"Go towards the dining room table, turn to the right before reaching it, and go through a doorway across the room.  Wait facing into this area. "
straight through doorway then right room on walls window at end of room wait there on patchwork tile,Go straight through the doorway.  Then turn to the right.  Go to a room that has paneling on the walls and one window at the end of the room.  Wait there on the patchwork tile. 
exit bedroom into second door on right in empty room,"Exit the bedroom, walk into the second door on the right, stop in the empty room. "
exit bedroom second room right with pictures above doorway wait just inside room,Exit the bedroom and enter the second room to your right with the pictures hanging above the doorway. Wait just inside that room. 
walk through hallway ottoman on left past pool table through doorway in front of it.stop right after through doorway,"Walk through the hallway that has the ottoman on your left. Walk past the pool table, and walk through the doorway straight in front of it.Stop right after you pass through the doorway. "
walk towards round cushion on floor past billiard table exit through glass doors ahead wait here,"Walk towards the round cushion on the floor.  Continue past the billiard table, and and exit through the glass doors ahead.  Wait here. "
exit room into room across hall billiards table through sliding door on mat,Exit the room and go into the room across the hall. Pass the billiards table and go through the sliding door. Stop on the mat. 
leave office right in hall right into empty room,"Leave office, turn right in hall and right into empty room. "
right into hallway right hall in first doorway on right,Turn right into the hallway. Go right down the hall and stop in the first doorway on the right. 
exit room through door right forward first door right there,Exit the room through the door. Turn right. Go forward and enter the first door to the right. Stop there. 
top of stairs into first door on right,Go up to the top of the stairs. Turn into the first door on the right. 
stairs right at first doorway on right step in doorway of bedroom,Go up all the stairs and turn right at the first doorway on the right.  Step in the doorway of this bedroom. 
stairs wait at top,Go up the stairs. Wait at the top. 
stairs on left into door second from left right hallway until bathroom wait near tub,Go up the stairs on your left and go into the door that is the second from your left. Turn right and go down the hallway until you get to the bathroom and wait near the tub. 
head stairs on left side of flower head into door across right of stairs right past closets in front of chandelier in bathroom,Head up the stairs on the left side of the flower. Head into the door across and to the right of the stairs. Turn right and walk past all the closets. Stop in front of the chandelier in the bathroom. 
face doors outside then stairs right at top of stairs through double doors ahead slightly right after through doors hard right hallway once near sunken bathtub,"Face the doors leading outside, then climb the stairs to your right. At the top of the stairs, go through the double doors ahead and slightly to the right. After passing through the doors, turn hard right and go down the curving hallway. Stop once you're near the sunken bathtub. "
stairs turn turn again at first doorway outside straight in front of bushes in white planters on right,Go up the stairs and turn left.  Turn left again at the first doorway and go outside.  Keep going straight and stop in front of the two bushes in white planters on the right. 
climb stairs turn at top landing walk front door turn house stop wait by glass railings,Climb up the stairs and turn left  at the top landing. Walk to the front door and turn left. Leave the house and stop and wait by the glass railings. 
