src,tgt
down spiral staircase through doorway at bottom stop at top of stairs,"Walk down the spiral staircase, and walk through the doorway at the bottom and stop at the top of the stairs. "
down spiral stairs wait at landing by doorway,Walk down the spiral stairs and wait at the landing by the doorway. 
turn towards bathroom door exit through doorway,Turn towards bathroom door. Exit. Go through doorway. 
exit bathroom into hall turn into room next with vase,"Exit bathroom into hall, turn left, walk into dinging room and stop next to table with vase. "
exit bathroom turn room door on left right toward table chairs wait there,Exit the bathroom. Turn left and exit the room using the door on the left. Turn right and walk toward the table and chairs. Wait there. 
bathroom bedroom right into dining area once in front of liquor cabinet,"Leave the bathroom, and the bedroom. Take a right into the dining and kitchen area. Stop once you are in front of the liquor cabinet. "
walk sink faucet granite counter straight door towards office glass table there,Walk straight passing the sink faucet granite counter. Keep walking straight to enter the door leading towards the office glass table and stop there. 
walk through kitchen past pantry cabinets walk into dining room outside of bathroom,"Walk through the kitchen, and past the pantry cabinets. Walk into the dining room and stop outside of the bathroom. "
turn left down kitchen past center countertop down hallway in front of open door,Turn to the left and walk down the kitchen past the center countertop. Walk down the hallway and stop in front of the open door. 
fitness area right stairs walk patio door at end in patio doorway,Leave the fitness area and take a right. Go up the stairs and walk to the patio door at the end. Stop in the patio doorway. 
walk out of gym room right steps into office stand in doorway balcony,Walk out of the gym room and turn right. Go up the two steps into the office. Stand in the doorway to the balcony. 
exit exercise room right past bookshelf step out on patio wait near patio set,Exit the exercise room and turn right.  Walk past the bookshelf and step out on the patio.  Wait near the patio set. 
pass table chairs steps stairs on right into room on right wait there,Pass the table and chairs. Go up the steps. Pass the stairs on the right. Go into the room on the right and wait there. 
through dining room up steps wait in alcove next front door,"Go through the dining room and up the steps. Wait in the alcove, next to the front door. "
through room towards steps staircase on right into doorway on right,"Go through the room towards the steps and passed the staircase on the right, step into the doorway on the right and stop. "
kitchen through door on right of stove dining room across next table on right,Leave the kitchen through the door on the right of the stove. Enter the dining room across and stop next to the table on the right. 
turn kitchen living area dining room wait next table with lamp on,Turn around and exit the kitchen and living area. Enter the dining room and wait next to the table with the lamp on it. 
between couch counter into big archway then into archway step in then,"Go between the couch and the counter, into the big archway, and then straight into the smaller archway, take a step in and then stop. "
stairway right at couch,"Go down the stairway and take a right, stopping at the couch. "
downstairs right set of stairs into living room wait just at bottom of stairs,Go downstairs and to your right. Go down another set of stairs into the living room and wait just at the bottom of those stairs. 
down stairs then right second set of stairs into living area just before white couch,"Down the stairs then move right down the second set of stairs into the living area, stopping just before the white couch. "
indoors right on second door turn straight until white chair then,Go indoors. Turn right on the second door. Turn left and walk straight until you get to a white chair then stop. 
enter home enter second doorway on right kitchen turn through kitchen by tv wait here,Enter home.  Enter second doorway on the right to enter the kitchen.  Turn left and walk through kitchen.  Stop by TV.  Wait here. 
exit bathroom past tub tv stop in doorway on left,Exit the bathroom. Go past the tub and tv and stop in the doorway on the left. 
walk through doorway left at door after dresser at door,"Walk through doorway, take a left at the door after the dresser, stop at door. "
bathroom walk past bed in wooden doorway into main room,Leave the bathroom and walk past the bed.  Stop in the wooden doorway looking into the main room. 
bathroom bedroom in front of door bedroom,Leave the bathroom and enter the bedroom. Stop in front of the door to exit the bedroom. 
walk past vanity over polar bear rug right turn into bedroom wait next thermostat,Walk past the vanity over the polar bear rug. Make a right turn into the bedroom. Wait next to the thermostat. 
turn right just inside bedroom,Turn right and stop just inside the bedroom.
doorway of bathroom at end of hall wait there,Go to the doorway of the bathroom at the end of the hall and wait there. 
stand in doorway of bathroom,Go stand in the doorway of the bathroom. 
straight until end if hallway into room on left wait there,Go straight until you get to the end if the hallway and go into the room on the left. Wait there. 
walk past refrigerator on rug by beanbag chair,Walk past the refrigerator and stop on the rug by the beanbag chair. 
walk forward past kitchen then right wait near window,"Walk forward past the kitchen, then turn right and wait near the window. "
walk through kitchen right after refrigerator on rug under mirror,Walk through the kitchen and take a right after the refrigerator. Stop on the rug under the mirror. 
bathroom right in bedroom into office in office stop in front of desk closest trash bin,Leave the bathroom and take a right in the bedroom into the office. In the office stop in front of the desk closest to the trash bin. 
walk towards living room then through hallway into room straight ahead wait at entrance room,Walk towards the living room. Then walk through the hallway and into the room that is straight ahead. Wait at the entrance to the room. 
straight across room slight through opening walk bedroom door stop,"Go straight across the room, and turn slight left through the opening. Walk straight to the bedroom door and stop. "
walk dining table turn on very first corner library room stop at very first white chair on left,Walk straight passing the dining table. Turn left on the very first corner entering a library room. Stop at the very first white chair on the left. 
past table then into second door from left in white chair right by light blue couch,Go past the table and then into the second door from the left. Sit down and wait in the white chair that is right by the light blue couch. 
walk past lounge chairs in front of patio chairs,Walk past the lounge chairs and stop in front of the patio chairs. 
walk just left across front of sunning beds wait by doorway next living room/kitchen area,Walk just to the left and go across the front of the sunning beds and wait by the doorway next to the living room/kitchen area. 
walk out of closet right by bed,Walk out of the closet and turn right. Stop by the bed. 
out of closet right then right again into bedroom wait near bed,Go straight out of the closet. Turn right and then turn right again to go into the bedroom. Wait near the bed. 
straight hallway stairs on right straight until into room wait near bed,Go straight down the hallway. Pass the stairs on the right. Continue straight until you go into a room. Wait near the bed. 
travel hallway past stairs door at end of hallway stand near bed,"Travel straight down the hallway past some stairs, enter the door at the end of the hallway and stand near the bed. "
turn next white robes,Turn around and wait next to the white robes. 
closet bathroom in front of shower,"Leave the closet, and enter the bathroom. Stop in front of the shower. "
exit closet walk into bathroom past sinks on left in front of shower,Exit the closet and walk into the bathroom. Go past the sinks on your left and stop in front of the shower. 
walk left of long table toward living area into bedroom on left in doorway of bathroom,"Walk to the left of the long table, toward the living area. Turn into the bedroom on the left. Stop in the doorway of the bathroom. "
exit room turn past pool into hallway wait there,Exit the room. Turn left. Go past the pool and straight into the hallway. Wait there. 
turn right plants diamond window in entryway,Turn around and go to your right. Pass the plants and the diamond window and stop in the entryway. 
exit spa room turn past treadmill walk past pool wait in hallway by large potted plant,Exit the spa room and turn left to walk past the treadmill. Walk past the pool and wait in the hallway by the large potted plant. 
walk outside along sidewalk right onto stone pathway next pool on first stone,Walk outside along the sidewalk. Turn right onto the stone pathway next to the pool. Stop on the first stone. 
exit building walk past pool wait on steppingstones near hot tub,"Exit the building, walk past the pool and wait on the steppingstones near the hot tub. "
step outside along sidewalk pool on right onto stones on right,"Step outside and go along the sidewalk, go passed the pool on the right and stop onto the stones on the right and stop. "
exit door on left hall until chairs chairs at door on left,Exit the door on the left and go down the hall until you reach the chairs. Pass the chairs and stop at the door on the left. 
walk through door of bedroom straight towards brown leather chair stop,"Walk through the door of the bedroom, walk straight towards the farthest brown leather chair and stop. "
stairs level right down stairs at bottom level stop,"Go down the stairs to the level, make a right and go down more stairs, at the bottom level stop. "
walk towards stairs first flight of steps right second flight of steps at bottom of stairs,Walk towards the stairs and go down the first flight of steps. Turn right and go down the second flight of steps. Stop at the bottom of the stairs. 
stairs between pillars right second stair at bottom of staircases,"Go down the stairs between the two pillars, and go right down the second stair set. Stop at the bottom of the staircases. "
turn right walk through door straight in front of lockers,Turn to your right and walk through the door. Keep walking straight and stop in front of the lockers. 
walk into door on left into bathroom stop at set of lockers on right,"walk straight into door on the left, continue into bathroom straight stop at set of 4 lockers on your right. "
walk with guardrail on right in doorway next elevator in doorway,Walk with the guardrail on your right. Turn left in the doorway next to the elevator. Stop in the doorway. 
turn right down end of hallway through door left of elevator stop,Turn right and go down to the end of the hallway. Go through the door to the left of the elevator and stop. 
walk along balcony with on right towards elevator turn beside fire extinguisher in doorway of bedroom,"Walk along balcony with railing on the right, walk towards the elevator.  Turn left beside the fire extinguisher, and stop in the doorway of the bedroom. "
down hallway wall art hallway past laundry room stop at wooden cabinets on right of hallway,Walk down the hallway passed the hanging wall art. Continue down the hallway past the laundry room and stop at the wooden cabinets on the right of the hallway. 
down hall until brown closet doors on right then,Walk down the hall.  Keep  going until you get to the brown closet doors on the right.  Then you will stop and wait. 
walk down hall until digital thermostat on left,Walk straight down the hall until you reach the digital thermostat on your left. 
enter home through slider walk across living room main front entry beside bathroom,Enter home through slider and walk across living room to main front entry. Stop beside bathroom. 
walk across patio into bedroom wait next area in bedroom,Walk across the patio into the bedroom. Wait next to the seating area in the bedroom. 
walk towards house into bedroom off balcony just on inside of door way,Walk towards the house and into the bedroom off the balcony and stop just on the inside of the door way. 
up stairs left wait at top,Walk up the stairs to the left and wait at the top. 
up stairs wait at top of stairs,"Walk up the stairs, wait at the top of the stairs. "
walk towards up stairs on second stair from top,Walk towards and up the stairs. Stop on the second stair from the top. 
into hallway down first set of steps wait inside double doors on left,Go into the hallway and down the first set of steps. Wait inside the double doors on the left. 
exit room turn left hallway down steps then into room wait near treadmill,Exit the room and turn left. Go down the hallway and down the three steps then turn left and go into the room. Wait near the treadmill. 
walk forward then at door,walk forward then stop at the door. 
walk across yard wait in front of doorway with flower tapestry,Walk across the yard and wait in front of the doorway with the flower tapestry. 
room towards up small flight of stairs once top of stairs,"Leave the room and go towards, and up the small flight of stairs. Stop once you reach the top of the stairs. "
left past dresser bedroom stairs at top of stairs,Make a left past the dresser. Exit the bedroom and continue up the stairs. Stop at the top of the stairs. 
inside couches on right conitnue straight stairs ont door on straight ahead outside,Go inside. Pass the couches on the right and conitnue straight. Pass the stairs ont he rigvht.Go out the door on straight ahead and wait outside. 
door on left then into other room right into hallway wait there,Go out the door on the left and then turn left and go into the other room. Turn right and go out into the hallway and wait there. 
turn then bedroom ahead wait there,Turn left and then enter the bedroom ahead. Wait there. 
exit closet right room right straight into room turn wait near red white bench,Exit the closet. Turn right. Exit the room. Turn right. Go straight into the room. Turn left and wait near the red and white bench. 
exit sauna massage room left straight into diagonal doorway couple steps in,"Exit the sauna, exit the massage room, take a left, go straight into the diagonal doorway, take a couple steps in and stop. "
exit sauna walk through doorway on left turn then through second doorway wait in bathroom by partition,"Exit the sauna and walk through the doorway on the left. Turn left, then walk through the second doorway. Wait in the bathroom by the partition. "
straight toward tv couches then way down hallway until garage stop,Go straight toward the tv and pass the couches then turn left and go all the way down the hallway until you get to the garage and stop. 
turn behind couch turn room walk towards door in front of garage at doorway,Turn left and walk behind couch. Turn left and exit the room. Walk straight towards the door in front of you leading to the garage. Stop at the doorway. 
exit area through doorway left of tv walk end of hall in doorway garage,Exit the sitting area through the doorway to the left of the TV. Walk to the end of the hall and stop in the doorway to the garage. 
steps into room with light right doorway into hall,Go up the steps into the room with the hanging light. Turn right and enter the doorway into the hall. 
up stairs right through door end of hall next doorway,Walk up the stairs and take a right. Walk through the door a the end of the hall and stop next to the doorway. 
towards dining room table turn right before through doorway across room wait into area,"Go towards the dining room table, turn to the right before reaching it, and go through a doorway across the room.  Wait facing into this area. "
exit bedroom into second door on right in empty room,"Exit the bedroom, walk into the second door on the right, stop in the empty room. "
exit bedroom second room right with pictures above doorway wait just inside room,Exit the bedroom and enter the second room to your right with the pictures hanging above the doorway. Wait just inside that room. 
walk towards round cushion on floor past billiard table exit through glass doors ahead wait here,"Walk towards the round cushion on the floor.  Continue past the billiard table, and and exit through the glass doors ahead.  Wait here. "
exit room into room across hall billiards table through sliding door on mat,Exit the room and go into the room across the hall. Pass the billiards table and go through the sliding door. Stop on the mat. 
leave office right in hall right into empty room,"Leave office, turn right in hall and right into empty room. "
right into hallway right hall in first doorway on right,Turn right into the hallway. Go right down the hall and stop in the first doorway on the right. 
exit room through door right forward first door right there,Exit the room through the door. Turn right. Go forward and enter the first door to the right. Stop there. 
top of stairs into first door on right,Go up to the top of the stairs. Turn into the first door on the right. 
stairs right at first doorway on right step in doorway of bedroom,Go up all the stairs and turn right at the first doorway on the right.  Step in the doorway of this bedroom. 
stairs wait at top,Go up the stairs. Wait at the top. 
steps turn straight first door on left house wait by white pillar,Walk up steps.  Turn left and go straight.  Enter the first door on the left to exit the house.  Wait by the white pillar. 
exit bathroom turn down hallway past stairs right at glass table down hallway wait by kitchen island,"Exit the bathroom, turn left, walk down the hallway past the stairs, turn right at the glass table, walk down the hallway, wait by the kitchen island. "
exit bathroom turn of stair case right table on left walk of bar stop,"Exit bathroom, turn left, walk to side of the stair case turn right, walk passed the table on the left and walk to end of the bar and stop. "
in hall turn left then next left hall at fork turn again,"Go in to the hall and turn left. Then take the next left and continue down the hall. At the fork, turn left again and stop. "
into hall turn turn next hall into first doorway on left,Go into the hall and turn left. Turn left down the next hall. Go into the first doorway on the left. 
walk out of cubical turn down first hall left at first intersection into office on left there,"Walk out of the cubical and turn left. Walk down the first hall to the left. At the first intersection, turn into the office on the left. Stop there. "
steps on left straight until stairs on left right wait near oven,Go up the two steps on your left. Continue straight until you pass the stairs on your left. Turn right and wait near the oven. 
up steps down hall past stairs in kitchen next oven,"Walk up the steps and down the hall, past the stairs. Stop in the kitchen next to the oven. "
stairs walk kitchen kitchen on left of stove,"Go up the stairs, and walk to the kitchen. Enter the kitchen. Stop on the left of the stove. "
head into bedroom right towards stairwell stairs stop at bottom,Head into the bedroom and go right towards the stairwell. Go down the stairs and stop at the bottom. 
through entryway on left down stairs on left at bottom of stairs,Go through the entryway on the left and walk down the stairs on your left. Stop at the bottom of the stairs. 
walk into building toward stairs down stairs at bottom of stairs,Walk into the building and toward the stairs. Walk down the stairs and stop at the bottom of the stairs. 
towards driftwood with air plants down stairs white blue artwork,Go towards the hanging driftwood with air plants and down the stairs. Stop when facing the white and blue framed artwork. 
bathroom left stairs on stair third from bottom,Leave the bathroom and take a left. Go down the stairs. Stop on the stair that is third from the bottom. 
bathroom down stairs on third step from bottom,Leave the bathroom and walk down the stairs.  Stop on the third step from the bottom. 
stairs turn through doorway in front of balcony,Go down the stairs.  Turn left and walk through the doorway. Stop in front of the balcony. 
down stairs right down stairs right left into bedroom in front of bed,Walk down the stairs and turn right. Walk down the stairs and turn right. Turn left and walk into the bedroom. Stop in front of the bed. 
behind chairs into large entry on right then towards front door in front of bench,Go behind the chairs and into the large entry on the right. Then turn left and go towards the front door. Stop in front of the bench. 
around room towards large archway foyer move in at base of stairs ahead of front door,"Go around the room towards the large archway leading to the foyer. Move in and turn left, stopping at the base of the stairs, ahead of the front door. "
stairs near large fern bathroom at bottom small square windows,Go down the stairs near the large fern and find the bathroom located at the bottom which has nine small square windows. 
steps on right right then steps right into bathroom wait by sink,Go down the steps on the right. Turn right and then turn left and go down the steps. Turn right and go into the bathroom. Wait by the sink. 
walk beside pool in space between pool lounge chairs at last lounge chair turn by steps,"Walk beside the pool, in the space between the pool and the lounge chairs. At the last lounge chair, turn left. Stop by the steps. "
bedroom left left into laundry room in front of sink in laundry room,Leave the bedroom and take a left. Take a left into the laundry room. Stop in front of the sink in the laundry room. 
around bed out door on left then into room right next door.. wait by sink,Go around the bed and out the door on your left then turn left and go into the room right next door.. Wait by the sink. 
exit bedroom left laundry room wait there,Exit the bedroom and take a left. Enter the laundry room and wait there. 
end of walkway wait at top of stairs,Go to the end of the walkway and wait at the top of the stairs. 
walk straight with blue chairs on left at top of stairs,Walk straight with the blue chairs on your left. Stop at the top of the stairs. 
turn hallway just top of stairs then,Turn left and go down the hallway.  You'll go to just the top of the stairs and then you should stop. 
turn out of room walk into room ahead in entry way,Turn left and walk out of the room. Walk into the room that is straight ahead and wait in the entry way. 
asleep of chruch towards front after of pews,Go down the asleep of the chruch towards the front.  Stop and wait after passing all of the pews. 
turn of around straight aisle until first set of pews ahead of in center,Turn of  around and walk straight down the aisle until you reach the first set of pews. Stand ahead of them in the center. 
walk past pews wait in front of potted flowers,Walk past pews and wait in front of potted flowers. 
exit bathroom then bedroom right across landing through archway sharp right wait in bedroom,"Exit the bathroom, then the bedroom and turn right. Go across the landing and through the archway. Turn sharp right and wait in the bedroom. "
move around bed through entryway between dressers right past stairs bathroom right just inside bedroom,"Move around the bed through the entryway between the dressers. Make a right and continue past the stairs. Facing the bathroom, move right and stop just inside the bedroom. "
walk into house through door on left stairs on left bathroom under stairs in doorway,Walk into the house through the door on the left. Go up the three stairs on the left. Enter the bathroom under the stairs. Stop in the doorway. 
enter house at sliding doors into living room towards stairs then past stairs in doorway on right,"Enter the house at the sliding doors, into the living room. Continue going towards the stairs, then past the stairs, stopping in the doorway on the right. "
turn right straight until treadmill wait there,Turn right and go straight until you get to the treadmill. Wait there. 
with plant behind through doorway right past pool beds on right side of treadmill,"With the plant behind you, walk through the doorway and go right.  Walk past the pool and three beds and stop on the right side of the treadmill. "
hall right side of pillar treadmill,go to the hall to the right side of the pillar. Go to the treadmill. 
stairs turn at top of stairs wait near flowers in yellow vase,Walk up stairs. Turn left at top of stairs.  Wait near flowers in yellow vase. 
walk top of stairs turn,"Walk to the top of the stairs, turn left and stop. "
walk around dining room table towards glass window walls around table dresser with digital picture frame on top,Walk around the dining room table towards the glass window walls. Walk around the table to the dresser with a digital picture frame on top. 
right around table wait by black drawer,Go right around the table and wait by the black drawer. 
exit storage area then through bedroom into hallway sharp left steps down stairway,"Exit the storage area, then turn left and move through the bedroom into the hallway. Make a sharp left and move three steps down the stairway. "
walk clockwise along long table with bookshelves left behind last chair at other end of room,Walk clockwise along the long table with the bookshelves to your left.  Stop behind the last chair at the other end of the room. 
down left side of table next last chair on left of table,Walk down the left side of the table. Stop next to the last chair on the left of the table. 
lefthand side of very large table just before end of table,"Move down the lefthand side of the very large table, and stop just before you reach the end of the table."
walk through living room walk past stairs hallway in doorway area with chairs,Walk through the living room and walk past the stairs. Go down the hallway and stop in the doorway to the sitting area with leather chairs. 
exit bathroom turn right into bedroom wait next tub,Exit the bathroom and turn left. Take a right into the bedroom. Wait next to the tub. 
walkway left bedroom right until outside in doorway,"Go down the walkway, take a left and enter the bedroom. Take a right and continue until you get outside, stopping in the doorway. "
walk towards wall mirror bedroom on left through bedroom step outside,Walk towards the wall that has a mirror and enter the bedroom on the left.  Walk through the bedroom and step outside. 
down hall past stairs right in bedroom,Walk down the hall past the stairs. Turn right and stop in the bedroom. 
past half wall second bedroom on right at foot of bed,Go past the half wall and enter the second bedroom on your right. Wait there at the foot of the bed. 
straight right on third door wait near bed,Go straight. Turn right on the third door. Wait near the bed. 
straight until office on left wait there,Go straight until you get to the office on the left #321. Wait there. 
hallway at end of hall right then into first doorway on left stop,"Go left down the hallway, at the end of the hall turn right and then left into the first doorway on the left and stop. "
walk down hall into empty office,Walk straight down hall into empty office. 
down steps sharp turn down steps at bottom of stairs,Walk down the steps and make a sharp turn left. Walk down the steps and stop at the bottom of the stairs. 
way down stairs once bottom,Go all the way down the stairs and stop once you reach the bottom. 
stairs next floor stop at bottom of stairs,Go down the stairs to the next floor. Stop at the bottom of the stairs. 
walk through doorway away from bed first right straight first left in doorway on left,"walk through doorway away from bed, first right, walk straight, take first left and stop in doorway on left. "
exit room hard right immediately straight first turn bathroom extreme left,Exit the room and make a hard right immediately.  Continue straight and make the first left turn.  Enter the bathroom to the extreme left. 
travel up stairs right wait in doorway near potted plant,"Travel up the stairs, turn right and wait in the doorway near the potted plant. "
upstairs wait in loft area next bedrooms,Go upstairs and wait in the loft area next to the bedrooms. 
climb stairs next way top then right wait at entrance first room,Climb the stairs next to you all the way to the top. Then turn right and wait at the entrance to the first room. 
walk potted plant next staircase room left of potted plant,Walk to the potted plant next to the staircase.  Enter the room to the left of the potted plant. 
small plain bedroom down hall dresser on right wall,Go to the small plain bedroom down the hall containing a six-drawer dresser on the right wall. 
turn right couch turn left on balcony,Turn to the right and go to the couch and turn left and stop on the balcony. 
turn right bedroom then out on patio,Turn right and enter the bedroom.  Then turn left and walk out on the patio. 
bathroom bedroom onto balcony through bedroom door once door,"Leave the bathroom, and enter the bedroom. Go out onto the balcony through the bedroom door. Stop once you pass the door. "
from bathroom enter bedroom right exit steps at sink,"From bathroom enter bedroom, turn right and exit, walk down steps. Stop at sink. "
enter bedroom hard right then right down stairs wait here,"Enter bedroom.  Turn hard right, then make another right.  Walk down stairs.  Wait here. "
door right into bedroom right stairs,Go out the door to the right into the bedroom. Turn right and go down the stairs. 
exit room descend stairs right pass living area stop wait by security keypads,"Exit room and descend stairs, make a right pass the living area, stop and wait by security keypads. "
down stairs right at blue red chairs walk past door outside by white modern chairs,"Walk down the stairs.  Turn right at the blue and red chairs. Walk past the door to the outside. Stop by the two white ""modern"" chairs. "
steps on left turn wait near large white doors,Go up the steps on the left. Turn left and wait near the large white doors. 
exit kitchen walk towards stairs first flight of stairs turn on landing near door,Exit kitchen and walk towards the stairs. Go up the first flight of stairs and turn left on the landing. Stop near the sliding door. 
exit bathroom turn left steps right then steps right wait there,Exit the bathroom and turn left. Go down the three steps and turn right then go up the three steps to your right and wait there. 
stairs at bottom wait here,Walk down stairs.  Stop at bottom.  Wait here. 
walk forward down stairs right second set of stairs at bottom of stairs,Walk forward down the stairs. Turn right and continue down the second set of stairs. Stop at the bottom of the stairs. 
stairs on last stair at bottom of stairwell,Go down the stairs. Stop on the last stair at the bottom of the stairwell. 
turn right through door walk across room through door across once step through door,Turn right and walk through the door. Walk across the room and through the door straight across. Stop once you take a step through the door. 
right out of room walking until doorway walk through doorway wait in hall,Take a right and walk out of the room and keep walking until you reach another doorway. Walk through that doorway and wait in the hall. 
straight hall into second door on right room stop,Go straight down the hall and go into the second door on the right. Enter the room and stop. 
straight into room ahead wait near xray table,Go straight and straight into the room ahead. Wait near the Xray table. 
hallway through corridor doorway on right room wait by wet spa,Proceed down the hallway and through the corridor to the furthest doorway on the right. Enter the room and wait by the Wet Spa. 
with door deck on right straight stairs on fourth step from bottom,"With the door to the deck on your right, walk straight and go down the stairs.  Stop on the fourth step from the bottom. "
turn down stairs near bottom stair,Turn left and walk down the stairs. Stop near the bottom stair. 
forward stairs on fourth stair from bottom,Go forward and go down the stairs. Stop on the fourth stair from the bottom. 
away from table up staircase turn up stairs turn up rest of stairs stop,"walk away from dining table, up the staircase, turn left, walk up the stairs, turn left, walk up the rest of the stairs and stop. "
reverse direction up stairs at top of stairs,Reverse direction and walk up the stairs.  Stop at the top of the stairs. 
stairs at top,Go up the stairs and stop at the top. 
exit bathroom walk past bed stop in doorway of sauna,Exit the bathroom. Walk past the bed and stop in the doorway of the sauna. 
walk through far doors on left straight wait in bedroom,Walk through the far doors on the left. Go straight. Wait in the bedroom. 
up stairs right second floor right then left wait in doorway on right,Walk up the stairs to the right. When you've reached the second floor take a right and then take a left. Wait in the doorway on the right. 
walk out of office down hallway turn before through double wood doors ahead right into first office stop,"walk out of office, turn left and walk down hallway, turn left before you walk through double wood doors straight ahead, turn right into first office and stop. "
exit room turn hallway by table near end left of double doors,"Exit the room and turn left.  Proceed down the hallway to stand by the table near the end, to the left of the double doors. "
exit bedroom door on far left forward near top of stairs,Exit the bedroom to the door on the far left. Continue forward and wait near the top of the stairs. 
down hall painting on left wall beside end table next couch,Walk down the hall. Pass the painting on the left wall. Go and stand beside the nearest end table next to the couch. 
exit then bathroom door on left then right then at top of stairs,Exit he shower then exit the bathroom using the door on the left then turn right and then turn left and wait at the top of the stairs. 
exit bathroom from hallway first door on right wait at top of stairs,"Exit the bathroom. From the hallway, enter the first door on the right. Wait at the top of stairs. "
kitchen stairs dining table on left turn behind first section of couch,Leave the kitchen heading to the stairs. Pass the dining table on your left and turn left. Stop behind the first section of the couch. 
into living room area between couch table,Go into the living room area.  Stop between the couch and dining table. 
down stairs right in living room walk behind couch straight ahead garage door wait,Walk down the stairs and make a right in the living room. Walk behind the couch and straight ahead to the garage door and wait. 
stairs right past living area on wood outside doorway,"Go down the stairs, taking a right and continuing past the living area, stopping on the wood outside the doorway. "
stairs right before planter box,"Go down the stairs, turn right, and stop before the planter box. "
walk under stairs past black leather bench hard right at floor mat wait at chair just inside open door,"Walk under the stairs, and past the black leather bench. Make a hard right at the floor mat. Wait at the chair just inside the open door. "
turn right towards exit right room right wait by mirror,"Turn right, walk towards the exit, turn right, enter the room, turn right, and wait by the mirror. "
